"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION","GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION",77,0.914002917554209,2.2104239407313,2.16006348073302e-11,4.95094365754308e-08,4.70305005774532e-08,282,"tags=26%, list=2%, signal=26%","HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD74/HLA-DMB/HLA-DMA/HLA-E/HLA-B/HLA-F/HLA-DQB2/HLA-C/HLA-DOA/PSME1/LGMN/CALR/HLA-A"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE","GOBP_ADAPTIVE_IMMUNE_RESPONSE",246,0.774312978389426,2.14502918287207,2.23115982764447e-11,4.95094365754308e-08,4.70305005774532e-08,286,"tags=11%, list=2%, signal=11%","HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD74/HLA-DMB/HLA-DMA/HLA-E/HLA-B/HLA-F/HLA-DQB2/TGFB1/C1R/BTN3A1/RORA/HLA-C/HLA-DOA/TRPM4/GNL1/ADA/BTN3A3/C1RL/TNFRSF11A/HLA-A/MEF2C"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS","GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS",179,0.810692991484426,2.15489609993456,1.35794526513768e-10,1.91256204406244e-07,1.81680012012763e-07,286,"tags=14%, list=2%, signal=14%","HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD74/HLA-DMB/HLA-DMA/HLA-E/HLA-B/HLA-F/HLA-DQB2/TGFB1/C1R/RORA/HLA-DOA/TRPM4/GNL1/ADA/BTN3A3/C1RL/HLA-A/MEF2C"
"GOBP_T_CELL_ACTIVATION","GOBP_T_CELL_ACTIVATION",303,0.738389023726712,2.09323305775559,1.75175055056094e-10,1.91256204406244e-07,1.81680012012763e-07,616,"tags=11%, list=4%, signal=10%","HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD74/HLA-DMB/HLA-DMA/HLA-E/EGR1/HLA-DQB2/SMAD3/HES1/BTN3A1/RORA/EFNB2/RUNX3/BTN2A2/HLA-DOA/NCK2/ATP7A/ADA/HLA-A/LFNG/HLA-DOB/STAT3/CTNNB1/RUNX2/CD70/FLOT2"
"GOBP_LYMPHOCYTE_ACTIVATION","GOBP_LYMPHOCYTE_ACTIVATION",454,0.674748403291871,1.98908848413233,2.15475669678058e-10,1.91256204406244e-07,1.81680012012763e-07,705,"tags=11%, list=4%, signal=10%","HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD74/HLA-DMB/HLA-DMA/HLA-E/EGR1/HLA-F/HLA-DQB2/TGFB1/SMAD3/IL11/HES1/BTN3A1/RORA/EFNB2/RUNX3/BTN2A2/HLA-DOA/NCK2/ATP7A/PTPRJ/ADA/NFATC2/MFNG/SKAP2/NOTCH2/HLA-A/MEF2C/CMTM7/SFRP1/LFNG/HLA-DOB/STAT3/CTNNB1/RUNX2/CD70/FLOT2/KMT5C/VAMP2/TNFSF9/MMP14/IL6"
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN","GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN",50,0.940849830897882,2.15397737856178,3.43842906853084e-10,2.38588358532417e-07,2.26642246607607e-07,282,"tags=38%, list=2%, signal=37%","HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD74/HLA-DMB/HLA-DMA/HLA-E/HLA-B/HLA-F/HLA-DQB2/HLA-C/HLA-DOA/LGMN/CALR/HLA-A"
"GOBP_POSITIVE_REGULATION_OF_CELL_ACTIVATION","GOBP_POSITIVE_REGULATION_OF_CELL_ACTIVATION",221,0.781044584591176,2.14096276130439,3.76322332070059e-10,2.38588358532417e-07,2.26642246607607e-07,286,"tags=12%, list=2%, signal=12%","HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD74/HLA-DMB/HLA-DMA/HLA-E/WNT5A/HLA-F/HLA-DQB2/TGFB1/HES1/EFNB2/RUNX3/BTN2A2/HLA-DOA/NCK2/ACTA2/ADA/NFATC2/HLA-A/MEF2C"
"GOBP_IMMUNOGLOBULIN_PRODUCTION_INVOLVED_IN_IMMUNOGLOBULIN_MEDIATED_IMMUNE_RESPONSE","GOBP_IMMUNOGLOBULIN_PRODUCTION_INVOLVED_IN_IMMUNOGLOBULIN_MEDIATED_IMMUNE_RESPONSE",54,0.932729421003809,2.15219979267543,8.1745089960613e-10,4.53480886556501e-07,4.30775112226651e-07,107,"tags=22%, list=1%, signal=22%","HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/HLA-DMB/HLA-DMA/HLA-DQB2/TGFB1/HLA-DOA"
"GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY","GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY",168,0.809748049226876,2.12964291143565,1.11077455048427e-09,5.47735272783242e-07,5.20310184174209e-07,282,"tags=13%, list=2%, signal=13%","HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD74/HLA-DMB/HLA-DMA/HLA-E/HLA-B/HLA-F/HLA-DQB2/TGFB1/C1R/HLA-DOA/TRPM4/GNL1/BTN3A3/C1RL/HLA-A"
"GOBP_B_CELL_MEDIATED_IMMUNITY","GOBP_B_CELL_MEDIATED_IMMUNITY",85,0.888149788345899,2.13864125572332,1.84469944193776e-09,6.82231343609981e-07,6.48072040786028e-07,210,"tags=19%, list=1%, signal=19%","HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD74/HLA-DMB/HLA-DMA/HLA-E/HLA-DQB2/TGFB1/C1R/HLA-DOA/C1RL"
