"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GOCC_COPII_COATED_ER_TO_GOLGI_TRANSPORT_VESICLE","GOCC_COPII_COATED_ER_TO_GOLGI_TRANSPORT_VESICLE",83,0.929958946441353,2.2798995890577,2.85617571803027e-14,1.64801338930347e-11,1.53331538546888e-11,294,"tags=22%, list=2%, signal=21%","HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD74/TGFA/HLA-E/HLA-B/HLA-F/HLA-DQB2/HLA-C/CNIH2/SEC24C/HLA-A/APP"
"GOCC_PLASMA_MEMBRANE_PROTEIN_COMPLEX","GOCC_PLASMA_MEMBRANE_PROTEIN_COMPLEX",316,0.758448533387464,2.15034200409645,2.76809500495628e-13,7.98595408929887e-11,7.43014975014581e-11,819,"tags=18%, list=5%, signal=18%","HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD74/HLA-DMB/HLA-DMA/HLA-E/KCND1/HLA-B/ITGB5/HLA-F/HLA-DQB2/ERBB3/CACNG7/HLA-C/HLA-DOA/SNTB1/IGF1R/CNIH2/CTNND1/DAG1/ACVR1/PDE4D/ITGB8/SLC6A6/GNG2/HLA-A/SORBS1/CTNNA2/ABCB6/GRIK2/SLC7A5/ITGA1/TGFBR1/KCNIP3/LRP6/HCN1/INSR/GNAO1/GRIN2A/HLA-DOB/CTNNB1/IL10RB/FLOT2/KCNN4/TRAF4/IL6/ACVR1C/OLFM2/SLC3A2/TRAF1/KCNAB3/CACNG8/CDH19"
"GOCC_ER_TO_GOLGI_TRANSPORT_VESICLE_MEMBRANE","GOCC_ER_TO_GOLGI_TRANSPORT_VESICLE_MEMBRANE",54,0.953201725486081,2.20967229468528,4.2962005226552e-13,8.26302567190684e-11,7.687937777383e-11,282,"tags=31%, list=2%, signal=31%","HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD74/TGFA/HLA-E/HLA-B/HLA-F/HLA-DQB2/HLA-C/CNIH2/SEC24C/HLA-A"
"GOCC_COATED_VESICLE_MEMBRANE","GOCC_COATED_VESICLE_MEMBRANE",139,0.849720458343348,2.23684668822552,9.92889776250029e-12,1.43224350224067e-09,1.33256259444083e-09,282,"tags=13%, list=2%, signal=13%","HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD74/TGFA/HLA-E/WNT5A/HLA-B/HLA-F/HLA-DQB2/HLA-C/CNIH2/SEC24C/HLA-A"
"GOCC_LUMENAL_SIDE_OF_MEMBRANE","GOCC_LUMENAL_SIDE_OF_MEMBRANE",29,0.970836376633933,2.09667366183663,1.38588948295157e-11,1.59931646332611e-09,1.48800765537958e-09,282,"tags=52%, list=2%, signal=51%","HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD74/HLA-E/HLA-B/HLA-F/HLA-DQB2/HLA-C/CALR/HLA-A"
"GOCC_TRANS_GOLGI_NETWORK_MEMBRANE","GOCC_TRANS_GOLGI_NETWORK_MEMBRANE",84,0.901175625309009,2.2093604574079,2.8018481872371e-11,2.40563110451973e-09,2.23820462155444e-09,150,"tags=13%, list=1%, signal=13%","HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD74/HLA-DQB2/HTR7/ATP7A"
"GOCC_VACUOLAR_MEMBRANE","GOCC_VACUOLAR_MEMBRANE",390,0.710905296440962,2.05947065365104,2.91844328104647e-11,2.40563110451973e-09,2.23820462155444e-09,1046,"tags=13%, list=6%, signal=13%","HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/MFSD12/CD74/HLA-DMB/HLA-DMA/ATP6V0A4/HLA-F/HLA-DQB2/SYNGR1/HLA-DOA/SLC44A2/HGSNAT/LITAF/ATP6V0A1/ABCB6/TPCN2/AP5B1/SLC7A5/GAA/FPR1/COL6A1/IFITM3/ABCA5/WDR41/SLC30A4/HLA-DOB/RAB3D/GABARAPL1/CLCN3/PIP4P2/CLN5/LAMTOR4/LNPEP/SLC3A2/TM9SF1/PLD3/SIDT2/TMEM59/ARRB1/GPR137/ATP6V1A/PLEKHF1/VPS39/RRAGB/WIPI1"
"GOCC_LUMENAL_SIDE_OF_ENDOPLASMIC_RETICULUM_MEMBRANE","GOCC_LUMENAL_SIDE_OF_ENDOPLASMIC_RETICULUM_MEMBRANE",24,0.974345680064711,2.04721303591723,1.3694343183868e-10,9.8770450213648e-09,9.18962503127985e-09,282,"tags=62%, list=2%, signal=62%","HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD74/HLA-E/HLA-B/HLA-F/HLA-DQB2/HLA-C/CALR/HLA-A"
"GOCC_ENDOSOME_MEMBRANE","GOCC_ENDOSOME_MEMBRANE",448,0.681161826772064,1.99198184320457,2.10765628606752e-10,1.35124186340107e-08,1.25719848642624e-08,729,"tags=10%, list=4%, signal=10%","HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/HLA-DMB/HLA-DMA/HLA-E/HLA-B/ATP6V0A4/HLA-F/HLA-DQB2/SLC9A7/HLA-C/PMEPA1/HLA-DOA/INPP5F/ATP7A/ZFYVE28/STEAP3/RHOB/HLA-A/LITAF/ATP6V0A1/ABCB6/TPCN2/SNX1/ABCA7/LRP6/INSR/RHOBTB2/IFITM3/ABCA5/SLC30A4/PRAF2/HLA-DOB/CLCN3/RAB11FIP3/PIP5K1C/PIP4P2/TMEM108/LAMTOR4"
"GOCC_CLATHRIN_COATED_VESICLE_MEMBRANE","GOCC_CLATHRIN_COATED_VESICLE_MEMBRANE",79,0.894461800317381,2.18276054400987,2.75041843829462e-10,1.586991438896e-08,1.47654042476869e-08,55,"tags=14%, list=0%, signal=14%","HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD74/TGFA/WNT5A/HLA-DQB2"
