"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GOMF_PEPTIDE_BINDING","GOMF_PEPTIDE_BINDING",199,0.802180354112221,2.17185530460382,1.78814864613669e-10,1.52707894380074e-07,1.5039271244876e-07,554,"tags=12%, list=3%, signal=12%","HLA-DRA/HLA-DPB1/HLA-DPA1/PTGES/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD74/HLA-E/HLA-B/HLA-F/HLA-C/IGF1R/ACVR1/CALR/HLA-A/CAT/SLC7A5/CLSTN1/INSR/GRIN2A/PPIB/GIPR"
"GOMF_AMIDE_BINDING","GOMF_AMIDE_BINDING",266,0.74177573554305,2.06560579376278,1.49291018989375e-09,4.24981767389755e-07,4.18538681307056e-07,821,"tags=12%, list=5%, signal=12%","HLA-DRA/HLA-DPB1/HLA-DPA1/PTGES/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD74/HLA-E/HLA-B/HLA-F/HLA-C/IGF1R/ACVR1/CALR/CLN8/HLA-A/CAT/SLC7A5/CLSTN1/INSR/GRIN2A/PPIB/GIPR/FKBP10/NLGN1/ACBD4/TAPBP/LNPEP/NGFR/AGER"
"GOMF_MHC_PROTEIN_COMPLEX_BINDING","GOMF_MHC_PROTEIN_COMPLEX_BINDING",24,0.973657603578721,2.04576730758832,1.45776332637729e-09,4.24981767389755e-07,4.18538681307056e-07,107,"tags=50%, list=1%, signal=50%","HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD74/HLA-DMB/HLA-DMA/HLA-DQB2/HLA-DOA"
"GOMF_MHC_CLASS_II_PROTEIN_COMPLEX_BINDING","GOMF_MHC_CLASS_II_PROTEIN_COMPLEX_BINDING",22,0.974346048124324,2.02571074763565,3.86631186745411e-08,8.25457583701454e-06,8.12942942656799e-06,107,"tags=55%, list=1%, signal=54%","HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD74/HLA-DMB/HLA-DMA/HLA-DQB2/HLA-DOA"
"GOMF_IMMUNE_RECEPTOR_ACTIVITY","GOMF_IMMUNE_RECEPTOR_ACTIVITY",52,0.887104904632509,2.0433857106283,5.61113558973888e-07,9.58381958727401e-05,9.43852070779235e-05,158,"tags=17%, list=1%, signal=17%","HLA-DRA/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/CD74/HLA-DQB2/HLA-DOA/IL1RAP"
"GOMF_ANTIGEN_BINDING","GOMF_ANTIGEN_BINDING",33,0.935580623060057,2.07012717508679,1.53761797696007e-06,0.000193373854167957,0.000190442141600145,92,"tags=36%, list=1%, signal=36%","HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/HLA-E/HLA-B/HLA-F/TGFB1/HLA-C"
"GOMF_PEPTIDE_ANTIGEN_BINDING","GOMF_PEPTIDE_ANTIGEN_BINDING",21,0.955008639831101,1.96087900158154,1.58503159154063e-06,0.000193373854167957,0.000190442141600145,360,"tags=62%, list=2%, signal=61%","HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/HLA-E/HLA-B/HLA-F/HLA-C/HLA-A/SLC7A5"
"GOMF_LRR_DOMAIN_BINDING","GOMF_LRR_DOMAIN_BINDING",15,-0.888046173699679,-1.72623134726578,0.000695294930842271,0.0742227338674124,0.0730974539135493,311,"tags=20%, list=2%, signal=20%","PAWR/JDP2/ATF4"
"GOMF_LEUCINE_ZIPPER_DOMAIN_BINDING","GOMF_LEUCINE_ZIPPER_DOMAIN_BINDING",10,-0.922886748807095,-1.7156094928538,0.000968335640965073,0.0918842930426858,0.0904912487872624,311,"tags=30%, list=2%, signal=29%","PAWR/JDP2/ATF4"
"GOMF_POLYSACCHARIDE_BINDING","GOMF_POLYSACCHARIDE_BINDING",15,0.908421220294872,1.76204579055905,0.00151545392164096,0.123456455112674,0.121584749950729,6,"tags=13%, list=0%, signal=13%","HLA-DRA/HLA-DRB1"
