"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",200,-0.684237570268751,-1.96236707106041,1.15818583598047e-06,5.79092917990235e-05,4.51082904539762e-05,3301,"tags=46%, list=19%, signal=37%","HNRNPA2B1/U2AF1/PCBP1/PHB/PRPS2/AP3S1/EXOSC7/MAD2L1/CCT4/MRPS18B/PSMC6/APEX1/SNRPA1/HSPD1/MCM5/XPO1/CAD/ETF1/UBE2E1/RPL6/TARDBP/HNRNPC/EIF2S1/DDX18/G3BP1/EIF2S2/DEK/SRSF2/NPM1/SMARCC1/BUB3/RRM1/SSB/EIF1AX/DHX15/DDX21/PPM1G/SNRPD3/CUL1/UBE2L3/SF3B3/H2AZ1/EIF3J/TCP1/PWP1/SYNCRIP/RAD23B/RANBP1/FAM120A/CSTF2/EIF4G2/ABCE1/CDK2/CCT5/CDK4/SLC25A3/NCBP1/GSPT1/VDAC1/RPLP0/CCT3/PTGES3/HNRNPA1/SERBP1/NAP1L1/EPRS1/SRPK1/GOT2/PGK1/IARS1/CDC20/CDC45/CCT2/RAN/HSP90AB1/PABPC4/USP1/EIF3D/HDAC2/PA2G4/SET/CTPS1/ILF2/POLE3/HNRNPU/XPOT/MYC/MRPL9/IFRD1/ODC1/HDGF"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",111,0.776960960099509,1.96988394110322,1.87907251521518e-05,0.000469768128803796,0.000365924647699799,750,"tags=14%, list=4%, signal=14%","HLA-DRA/HLA-DQA1/CD74/HLA-DMB/HLA-DMA/HLA-E/FYB1/TGFB1/IL11/HLA-DOA/HLA-A/HLA-DOB/TIMP1/CSF1/IL6/TAPBP"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",158,0.686236869731968,1.81452227371268,0.000196054894209967,0.00326758157016611,0.00254527406518202,812,"tags=15%, list=5%, signal=15%","HLA-DRB1/HLA-DQA1/CD74/CIITA/HLA-DMA/HLA-B/C1R/TXNIP/PSME2/PSME1/METTL7B/IFIT2/HLA-A/IFIH1/IFIT1/PTGS2/FPR1/IFITM3/ST3GAL5/STAT3/IL6/TAPBP/BPGM/CD38"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",200,-0.56148390165297,-1.61031426424237,0.00227466470269549,0.0284333087836936,0.0221480510525614,4032,"tags=44%, list=24%, signal=34%","SNRPB/PRPS1/CKS2/RAD51C/MSH2/AURKB/KPNA2/SRSF1/MKI67/CBX5/NOLC1/XRCC6/CHEK1/PRIM2/ESPL1/MYBL2/GINS1/NUDT21/HNRNPD/MRE11/BUB1B/LUC7L3/HMMR/CDCA8/HMGB2/MAD2L1/PHF5A/AURKA/PAICS/IPO7/WEE1/NUP153/MCM5/POP7/XPO1/EZH2/BARD1/LYAR/DEPDC1/RAD50/EIF2S1/DEK/POLD3/SRSF2/ATAD2/PRKDC/CNOT9/ORC6/SMC4/UNG/TRIP13/PLK4/PSMC3IP/H2AZ1/TIMELESS/PSIP1/SYNCRIP/DIAPH3/RANBP1/PLK1/RACGAP1/NASP/CDK4/GSPT1/CKS1B/TMPO/MTHFD2/CSE1L/NAP1L1/CIT/UBE2T/MELK/CENPE/NUP205/ANP32E/CDC20/NUP107/RAN/USP1/PA2G4/HMGB3/TCF19/JPT1/CTPS1/MYC/PNN/CDC25A"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",193,-0.552057218906809,-1.57373966652986,0.00653334218529216,0.0653334218529217,0.0508912970222758,1463,"tags=25%, list=9%, signal=23%","UBE2D3/TMEM97/SC5D/CYB5B/LTA4H/INSIG1/ASNS/FADS2/DHCR7/ACTR3/PLK1/STC1/PITPNB/GCLC/SLC1A4/SRD5A1/MTHFD2/CACYBP/SORD/EPRS1/ELOVL6/HMGCR/ELOVL5/IDI1/LDLR/PGK1/NUP205/TRIB3/HMGCS1/PSPH/ACLY/FADS1/GPI/NAMPT/PNP/PSAT1/IFRD1/VLDLR/DHCR24/XBP1/CYP51A1/WARS1/MLLT11/UCHL5/ARPC5L/SCD/CDC25A/SQLE/SHMT2"
"HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY",178,0.566577625896057,1.51238007280915,0.0156200499146268,0.103894552699605,0.0809283884186398,1819,"tags=25%, list=11%, signal=23%","TGFA/FUCA1/TSC22D1/TGFB1/TXNIP/FDXR/ADA/STEAP3/XPC/APP/DDIT4/MXD4/PTPRE/CD82/SLC7A11/PLXNB2/NHLH2/FOS/DDB2/SAT1/POLH/TOB1/TNFSF9/TRAF4/SESN1/EI24/SLC3A2/ABAT/BAIAP2/CYFIP2/BTG2/RHBDF2/RGS16/PRMT2/CDKN1A/ANKRA2/PIDD1/ATF3/VWA5A/TSPYL2/IP6K2/KIF13B/UPP1/IL1A/SPHK1"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",175,0.547278935522694,1.4629002935022,0.0164798456848352,0.103894552699605,0.0809283884186398,771,"tags=18%, list=5%, signal=18%","MMP2/WNT5A/FUCA1/COL1A1/ITGB5/TGFB1/PMEPA1/SNTB1/PMP22/ACTA2/SCG2/SPOCK1/LOXL2/COL5A1/VEGFA/MATN2/APLP1/NOTCH2/RHOB/SFRP1/THBS1/SLIT2/COL4A1/BMP1/SAT1/PPIB/COL16A1/TIMP1/SPARC/MMP14/IL6/SERPINH1"
"HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM",133,-0.526897918996979,-1.43656164829262,0.0182118580104419,0.103894552699605,0.0809283884186398,1619,"tags=24%, list=10%, signal=22%","HIBCH/HPGD/H2AZ1/AQP7/FH/SDHC/ACAT2/HADH/HSD17B7/EHHADH/FASN/AADAT/RAP1GDS1/MGLL/DLST/ALDH9A1/ERP29/NSDHL/ELOVL5/IDI1/ADSL/UROD/HMGCS1/KMT5A/PDHA1/YWHAH/PRDX6/G0S2/DHCR24/ODC1/GLUL/S100A10"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",199,-0.499653318180611,-1.43298084480707,0.0187010194859289,0.103894552699605,0.0809283884186398,2602,"tags=32%, list=15%, signal=28%","YTHDC1/EWSR1/CDC6/CHAF1A/G3BP1/HIRA/KIF20B/EGF/DKC1/SRSF2/NCL/KNL1/SMARCC1/BUB3/SMC2/HSPA8/LIG3/KIF15/ORC6/SMC4/SRSF10/KIF23/RASAL2/MARCKS/EXO1/CUL1/MAP3K20/PLK4/DBF4/H2AZ1/SYNCRIP/RAD23B/PLK1/PML/CCNT1/TENT4A/RACGAP1/NASP/TPX2/CDK4/GSPT1/CKS1B/TMPO/SFPQ/MAPK14/AMD1/CENPE/CDC20/CDC45/STIL/POLQ/HMGB3/KMT5A/MTF2/JPT1/HNRNPU/MYC/CENPF/NSD2/UCK2/ODC1/SLC38A1/CDC25A/SQLE"
"HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING",52,0.690695930985466,1.58771884760216,0.0398692641669435,0.153343323719014,0.119446378475863,581,"tags=17%, list=3%, signal=17%","TGFB1/SMAD3/PMEPA1/WWTR1/ACVR1/TGFBR1/THBS1/CTNNB1/CDKN1C"
