"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS","KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS",76,0.925756983337415,2.22385369311095,1.2100292089892e-12,2.14175169991089e-10,1.84688668740457e-10,107,"tags=14%, list=1%, signal=14%","HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/HLA-DMB/HLA-DMA/C1R/HLA-DOA"
"KEGG_LEISHMANIA_INFECTION","KEGG_LEISHMANIA_INFECTION",52,0.933847272344262,2.14733006666606,1.50093761040117e-09,1.32832978520504e-07,1.1454523868851e-07,147,"tags=23%, list=1%, signal=23%","HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/HLA-DMB/HLA-DMA/TGFB1/HLA-DOA/MAPK11"
"KEGG_AUTOIMMUNE_THYROID_DISEASE","KEGG_AUTOIMMUNE_THYROID_DISEASE",20,0.979769937222309,2.00521717657389,3.78598821974102e-09,2.2337330496472e-07,1.9262045328507e-07,107,"tags=70%, list=1%, signal=70%","HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/HLA-DMB/HLA-DMA/HLA-E/HLA-B/HLA-F/HLA-C/HLA-DOA"
"KEGG_TYPE_I_DIABETES_MELLITUS","KEGG_TYPE_I_DIABETES_MELLITUS",25,0.973707576150555,2.03901813955332,5.07177673191055e-09,2.24426120387042e-07,1.93528322665008e-07,107,"tags=56%, list=1%, signal=56%","HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/HLA-DMB/HLA-DMA/HLA-E/HLA-B/HLA-F/HLA-C/HLA-DOA"
"KEGG_GRAFT_VERSUS_HOST_DISEASE","KEGG_GRAFT_VERSUS_HOST_DISEASE",20,0.975270284183723,1.99600809470802,3.22886440504677e-08,1.14301799938656e-06,9.85653344698489e-07,107,"tags=70%, list=1%, signal=70%","HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/HLA-DMB/HLA-DMA/HLA-E/HLA-B/HLA-F/HLA-C/HLA-DOA"
"KEGG_ALLOGRAFT_REJECTION","KEGG_ALLOGRAFT_REJECTION",19,0.981537287054014,1.99327648716522,7.58828042315867e-08,2.23854272483181e-06,1.93035203747019e-06,107,"tags=74%, list=1%, signal=73%","HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/HLA-DMB/HLA-DMA/HLA-E/HLA-B/HLA-F/HLA-C/HLA-DOA"
"KEGG_CELL_ADHESION_MOLECULES_CAMS","KEGG_CELL_ADHESION_MOLECULES_CAMS",77,0.875203010969668,2.10604296940526,1.17935269082409e-07,2.98207751822663e-06,2.57152090480441e-06,384,"tags=25%, list=2%, signal=24%","HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/HLA-DMB/HLA-DMA/HLA-E/HLA-B/HLA-F/HLA-C/SDC3/HLA-DOA/ITGB8/HLA-A/NLGN2/L1CAM"
"KEGG_VIRAL_MYOCARDITIS","KEGG_VIRAL_MYOCARDITIS",47,0.907441817999746,2.06590622308234,4.52492317517891e-07,8.89901557785185e-06,7.67384632047885e-06,282,"tags=34%, list=2%, signal=34%","HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/HLA-DMB/HLA-DMA/HLA-E/HLA-B/HLA-F/HLA-C/HLA-DOA/DAG1/HLA-A"
"KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION",22,0.969541913250754,2.01375068857252,4.11719790779603e-07,8.89901557785185e-06,7.67384632047885e-06,107,"tags=50%, list=1%, signal=50%","HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/HLA-DMB/HLA-DMA/TGFB1/HLA-DOA"
"KEGG_ASTHMA","KEGG_ASTHMA",13,0.988382791367444,1.89416614564801,6.08956812506326e-07,1.0778535581362e-05,9.29460398035972e-06,107,"tags=77%, list=1%, signal=76%","HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/HLA-DMB/HLA-DMA/HLA-DOA"
