"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"REACTOME_TCR_SIGNALING","REACTOME_TCR_SIGNALING",102,0.925603190318368,2.33251066044874,1.94844196105999e-16,2.16666746069871e-13,2.07765442795134e-13,204,"tags=13%, list=1%, signal=13%","HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/FYB1/PAK3/HLA-DQB2/PSME2/PTPRJ/PSME1"
"REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION","REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION",110,0.880028036328782,2.23081792496006,2.44774442270118e-11,9.40197917474886e-09,9.01571838699412e-09,260,"tags=13%, list=2%, signal=13%","HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD74/HLA-DMB/HLA-DMA/HLA-DQB2/HLA-DOA/LGMN/SEC24C"
"REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES","REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES",23,0.985504995004894,2.04483447977557,2.53650517304376e-11,9.40197917474886e-09,9.01571838699412e-09,55,"tags=43%, list=0%, signal=43%","HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/FYB1/PAK3/HLA-DQB2"
"REACTOME_INTERFERON_GAMMA_SIGNALING","REACTOME_INTERFERON_GAMMA_SIGNALING",68,0.921005957593134,2.20027672692837,3.50135626231372e-11,9.73377040923215e-09,9.33387866769421e-09,92,"tags=19%, list=1%, signal=19%","HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CIITA/HLA-E/HLA-B/HLA-F/HLA-DQB2/HLA-C"
"REACTOME_INTERFERON_SIGNALING","REACTOME_INTERFERON_SIGNALING",160,0.825352518691352,2.19575640025919,1.09760213752384e-10,2.44106715385301e-08,2.34078097960346e-08,373,"tags=11%, list=2%, signal=10%","HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CIITA/HLA-E/EGR1/HLA-B/HLA-F/HLA-DQB2/HLA-C/IFIT2/HLA-A/IFIT1"
"REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY","REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY",50,0.93643932261449,2.12657225756862,3.29004237767657e-09,6.09754520662724e-07,5.84704022559011e-07,55,"tags=18%, list=0%, signal=18%","HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/PAK3/HLA-DQB2"
"REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA","REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA",238,-0.632158154938975,-1.86694199257541,5.78544827705876e-06,0.000919059783441335,0.000881302121001583,3910,"tags=43%, list=23%, signal=34%","NUP85/EIF4A3/ZCRB1/SRSF1/SF3A1/EIF4E/DDX46/SF3A2/HNRNPM/NUP50/HNRNPA3/SNRNP27/NUDT21/PRPF38A/HNRNPD/METTL14/FUS/HNRNPA2B1/TFIP11/U2AF1/PCBP1/PPWD1/SNRPE/PHF5A/NUP42/SNRPC/SNRPA1/POLR2B/NUP153/THOC6/POLR2F/NUP93/PCF11/HNRNPC/NUP88/CCAR1/NUP133/SNRNP48/EFTUD2/PRPF8/LSM5/FIP1L1/SRSF2/RANBP2/DDX23/SRRM1/HSPA8/SARNP/HNRNPK/SEH1L/CSTF2T/CSTF1/DHX15/SRSF10/RAE1/PRPF4/PTBP1/NDC1/NUP54/SNW1/ZC3H11A/PRPF40A/PPIH/SNRPD3/SRSF9/ELAVL1/SF3B3/TPR/PLRG1/CSTF3/NUP214/PRCC/SNRPF/GLE1/CSTF2/HNRNPA0/PAPOLA/RBM8A/DDX5/NCBP1/SF3A3/HNRNPA1/YBX1/RBM17/SRSF11/DHX9/NUP37/NUP210/HNRNPH1/MAGOH/NUP205/RBMX/U2SURP/NUP107/THOC1/THOC5/THOC2/PCBP2/HNRNPU/NUP188/PRPF3/SF3B4/CHTOP"
"REACTOME_PD_1_SIGNALING","REACTOME_PD_1_SIGNALING",12,0.973075048816212,1.81948779034734,9.78763108098719e-05,0.0136048072025722,0.013045881954,55,"tags=67%, list=0%, signal=66%","HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/HLA-DQB2"
"REACTOME_MRNA_SPLICING","REACTOME_MRNA_SPLICING",187,-0.602873686114991,-1.72272358255781,0.000233986694802639,0.0289103560689483,0.0277226341327571,3908,"tags=40%, list=23%, signal=31%","EIF4A3/ZCRB1/SRSF1/SF3A1/DDX46/SF3A2/HNRNPM/HNRNPA3/SNRNP27/NUDT21/PRPF38A/HNRNPD/FUS/HNRNPA2B1/TFIP11/U2AF1/PCBP1/PPWD1/SNRPE/PHF5A/SNRPC/SNRPA1/POLR2B/POLR2F/PCF11/HNRNPC/CCAR1/SNRNP48/EFTUD2/PRPF8/LSM5/FIP1L1/SRSF2/DDX23/SRRM1/HSPA8/HNRNPK/CSTF2T/CSTF1/DHX15/SRSF10/PRPF4/PTBP1/SNW1/PRPF40A/PPIH/SNRPD3/SRSF9/ELAVL1/SF3B3/PLRG1/CSTF3/PRCC/SNRPF/CSTF2/HNRNPA0/PAPOLA/RBM8A/DDX5/NCBP1/SF3A3/HNRNPA1/YBX1/RBM17/SRSF11/DHX9/HNRNPH1/MAGOH/RBMX/U2SURP/PCBP2/HNRNPU/PRPF3/SF3B4"
"REACTOME_GLUTAMATE_AND_GLUTAMINE_METABOLISM","REACTOME_GLUTAMATE_AND_GLUTAMINE_METABOLISM",13,-0.901314401898039,-1.72326414104703,0.000975532436046622,0.108479206888384,0.104022563970024,655,"tags=31%, list=4%, signal=30%","GOT2/RIMKLA/GLUL/RIMKLB"
