"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"WP_EBOLA_VIRUS_INFECTION_IN_HOST","WP_EBOLA_VIRUS_INFECTION_IN_HOST",110,0.894865126784605,2.23759985990231,6.45439494600408e-14,3.22074307805604e-11,3.00978627482085e-11,388,"tags=19%, list=2%, signal=19%","HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/HLA-DMB/HLA-DMA/HLA-E/HLA-B/TFAP2A/HLA-F/HLA-DQB2/HLA-C/HLA-DOA/IGF1R/RHOB/HLA-A/TPCN2/ITGA1"
"WP_ALLOGRAFT_REJECTION","WP_ALLOGRAFT_REJECTION",48,0.934951791829244,2.14194023093865,4.17046068697878e-09,1.04052994140121e-06,9.72375833858737e-07,282,"tags=38%, list=2%, signal=37%","HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/HLA-DMB/HLA-DMA/HLA-E/HLA-B/HLA-F/TGFB1/HLA-C/HLA-DOA/COL5A1/VEGFA/HLA-A"
"WP_NETWORK_MAP_OF_SARSCOV2_SIGNALING_PATHWAY","WP_NETWORK_MAP_OF_SARSCOV2_SIGNALING_PATHWAY",132,0.738470308142323,1.89887433707968,1.78271405826815e-05,0.00296524771691936,0.00277102571162383,705,"tags=14%, list=4%, signal=13%","HLA-DRA/HLA-DRB1/HLA-DRB5/EGR1/C1R/BTN3A1/STEAP3/DDIT4/IFIH1/IFIT1/PTGS2/CXCL5/FOS/IFITM3/IFI6/RRAS/CTSB/IL6"
"WP_TCELL_ACTIVATION_SARSCOV2","WP_TCELL_ACTIVATION_SARSCOV2",59,0.816520998873143,1.92358523804918,0.000200375980521758,0.0249969035700893,0.0233596208871418,118,"tags=5%, list=1%, signal=5%","HLA-DRA/HLA-DRB1/IRF2BPL"
"WP_CYTOKINES_AND_INFLAMMATORY_RESPONSE","WP_CYTOKINES_AND_INFLAMMATORY_RESPONSE",15,0.947947431895291,1.81485949993808,0.000445885276620856,0.0378640356861734,0.0353839633139433,70,"tags=27%, list=0%, signal=27%","HLA-DRA/HLA-DRB1/TGFB1/IL11"
"WP_MRNA_PROCESSING","WP_MRNA_PROCESSING",126,-0.651433671737313,-1.76374742369379,0.000455278986206494,0.0378640356861734,0.0353839633139433,3754,"tags=48%, list=22%, signal=37%","SF3A1/SF3A2/HNRNPM/SFSWAP/NUDT21/RNMT/HNRNPD/FUS/HNRNPA2B1/U2AF1/SNRPE/PHF5A/DICER1/PRPF4B/SNRPA1/SREK1/DDX20/HNRNPC/CLK2/EFTUD2/PRPF8/SRPK2/SRSF2/SRRM1/HNRNPK/XRN2/CSTF2T/CSTF1/DHX15/PPM1G/DDX1/SRSF10/PRPF18/PRPF4/PTBP1/PRPF40A/SNRPD3/SRSF9/SF3B3/CSTF3/SNRPF/CSTF2/RBM39/PAPOLA/NCBP1/SF3A3/SFPQ/HNRNPA1/YBX1/RBM17/DHX9/SRPK1/HNRNPH1/RBMX/CELF1/PCBP2/HNRNPAB/HNRNPU/PRPF3/SF3B4"
"WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING",63,-0.727816015572824,-1.77940051514336,0.000634048158270582,0.0451985758538601,0.0422380953554689,1395,"tags=29%, list=8%, signal=26%","INSIG1/LSS/PRKAG2/FASN/ATF6/HMGCR/IDI1/LDLR/SREBF2/HMGCS1/ACLY/DBI/PRKAA2/CYP51A1/FDFT1/SCD/SQLE/FDPS"
"WP_ERBB_SIGNALING_PATHWAY","WP_ERBB_SIGNALING_PATHWAY",81,0.730795385305855,1.80252403045425,0.00148890133482612,0.0742961766078232,0.0694298201397863,772,"tags=12%, list=5%, signal=12%","TGFA/SHC4/PAK6/PAK3/ERBB3/NCK2/NRG2/FOXO1/CDKN1B/STAT5B"
"WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS","WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS",42,-0.76547664683854,-1.75056863133641,0.00128030265103994,0.0742961766078232,0.0694298201397863,1701,"tags=64%, list=10%, signal=58%","MVD/MVK/ACSL4/EBP/ELOVL4/SC5D/LSS/FADS2/DHCR7/ACAT2/HSD17B7/FASN/HMGCR/NSDHL/ELOVL5/IDI1/SREBF2/SOAT1/HMGCS1/FADS1/MSMO1/DHCR24/CYP51A1/FDFT1/SCD/SQLE/FDPS"
"WP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_IN_COLORECTAL_CANCER","WP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_IN_COLORECTAL_CANCER",115,0.648998522539711,1.63732273001041,0.00139157627257278,0.0742961766078232,0.0694298201397863,1483,"tags=19%, list=9%, signal=18%","MMP2/WNT5A/TGFB1/SMAD3/MAPK11/NOTCH2/FMNL2/MAP2K6/TGFBR1/LRP6/COL4A1/FZD1/CTNNB1/TGFB3/SPARC/SMAD2/WNT7B/PKP2/TGFBR2/JAG1/COL4A5/MAPK12"
