"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GOBP_REGULATION_OF_CYTOSOLIC_CALCIUM_ION_CONCENTRATION","GOBP_REGULATION_OF_CYTOSOLIC_CALCIUM_ION_CONCENTRATION","14/201","164/11404",1.15188147676164e-06,0.0026781244334708,0.00235226322622903,"TRPV4/EDN1/MCOLN3/ADORA1/GRIN2B/LPAR4/CALCB/GPR174/SPINK1/CCRL2/AGTR1/JPH2/RYR2/S1PR3",14
"GOBP_HEART_PROCESS","GOBP_HEART_PROCESS","13/201","153/11404",2.95842590627556e-06,0.00343917011604533,0.00302070855693399,"RPS6KA2/ABCC9/EDN1/RGS2/ADORA1/RNF207/HOPX/FGF13/SCN5A/KCNJ8/RYR2/JUP/TTN",13
"GOBP_DIVALENT_INORGANIC_CATION_HOMEOSTASIS","GOBP_DIVALENT_INORGANIC_CATION_HOMEOSTASIS","17/201","267/11404",4.84780943003191e-06,0.00375705230827473,0.00329991238395154,"SV2A/TRPV4/EDN1/MT1G/MCOLN3/ADORA1/GRIN2B/LPAR4/CALCB/CNNM1/GPR174/SPINK1/CCRL2/AGTR1/JPH2/RYR2/S1PR3",17
"GOBP_REGULATION_OF_STRIATED_MUSCLE_CONTRACTION","GOBP_REGULATION_OF_STRIATED_MUSCLE_CONTRACTION","8/201","58/11404",7.29614189654383e-06,0.0042408824773661,0.00372487244191974,"TRPV4/RGS2/ADORA1/RNF207/FGF13/SCN5A/RYR2/JUP",8
"GOBP_STRIATED_MUSCLE_CONTRACTION","GOBP_STRIATED_MUSCLE_CONTRACTION","10/201","102/11404",1.20443792736276e-05,0.00560063636223684,0.00491917806122896,"TRPV4/RGS2/ADORA1/RNF207/FGF13/SCN5A/KCNJ8/RYR2/JUP/TTN",10
"GOBP_CARDIAC_MUSCLE_CONTRACTION","GOBP_CARDIAC_MUSCLE_CONTRACTION","9/201","83/11404",1.4621041617113e-05,0.00566565362663127,0.0049762843398595,"RGS2/ADORA1/RNF207/FGF13/SCN5A/KCNJ8/RYR2/JUP/TTN",9
"GOBP_ACTIN_MEDIATED_CELL_CONTRACTION","GOBP_ACTIN_MEDIATED_CELL_CONTRACTION","8/201","65/11404",1.72895053667088e-05,0.00566851937529789,0.00497880139811111,"ADORA1/RNF207/CCDC88C/FGF13/SCN5A/KCNJ8/RYR2/JUP",8
"GOBP_ACTIN_FILAMENT_BASED_MOVEMENT","GOBP_ACTIN_FILAMENT_BASED_MOVEMENT","9/201","88/11404",2.35582504596188e-05,0.00566851937529789,0.00497880139811111,"ADORA1/RNF207/MYH10/CCDC88C/FGF13/SCN5A/KCNJ8/RYR2/JUP",9
"GOBP_CARDIAC_MUSCLE_CELL_CONTRACTION","GOBP_CARDIAC_MUSCLE_CELL_CONTRACTION","7/201","50/11404",2.50139044997271e-05,0.00566851937529789,0.00497880139811111,"ADORA1/RNF207/FGF13/SCN5A/KCNJ8/RYR2/JUP",7
"GOBP_AXON_DEVELOPMENT","GOBP_AXON_DEVELOPMENT","19/201","371/11404",2.9966803368766e-05,0.00566851937529789,0.00497880139811111,"PLXNA2/UCHL1/EDN1/ANOS1/SEMA7A/EPHA5/ROBO4/SPRY3/SEMA3D/NRXN3/FGF13/PTPRZ1/GLI2/MAP6/ADCY1/NCAM2/COBL/RTN4R/PLXNC1",19
"GOBP_REGULATION_OF_ION_TRANSPORT","GOBP_REGULATION_OF_ION_TRANSPORT","19/201","373/11404",3.22607245156212e-05,0.00566851937529789,0.00497880139811111,"SV2A/GPM6B/DAPK1/EDN1/RGS2/ADORA1/RNF207/CTSS/FGF13/CD33/CLCA3P/SCN5A/ATP8B1/KCNJ8/SPINK1/JPH2/FHL1/RYR2/HSPA2",19
"GOBP_REGULATION_OF_CARDIAC_MUSCLE_CONTRACTION","GOBP_REGULATION_OF_CARDIAC_MUSCLE_CONTRACTION","7/201","52/11404",3.25204943353959e-05,0.00566851937529789,0.00497880139811111,"RGS2/ADORA1/RNF207/FGF13/SCN5A/RYR2/JUP",7
"GOBP_VENTRICULAR_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL","GOBP_VENTRICULAR_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL","5/201","22/11404",3.33861160052416e-05,0.00566851937529789,0.00497880139811111,"RNF207/SCN5A/KCNJ8/RYR2/JUP",5
"GOBP_REGULATION_OF_MEMBRANE_POTENTIAL","GOBP_REGULATION_OF_MEMBRANE_POTENTIAL","15/201","249/11404",3.41330198942669e-05,0.00566851937529789,0.00497880139811111,"UCP2/GABRB2/BID/EDN1/ADORA1/RNF207/GRIN2B/GABRA6/FGF13/SCN5A/KCNJ8/FHL1/RYR2/JUP/PIEZO2",15
"GOBP_REGULATION_OF_HEART_CONTRACTION","GOBP_REGULATION_OF_HEART_CONTRACTION","10/201","120/11404",4.98723364228717e-05,0.00727591847219818,0.0063906199597349,"ABCC9/EDN1/RGS2/ADORA1/RNF207/HOPX/FGF13/SCN5A/RYR2/JUP",10
"GOBP_REGULATION_OF_BLOOD_CIRCULATION","GOBP_REGULATION_OF_BLOOD_CIRCULATION","11/201","145/11404",5.0070836797923e-05,0.00727591847219818,0.0063906199597349,"ABCC9/EDN1/RGS2/ADORA1/RNF207/HOPX/FGF13/SCN5A/AGTR1/RYR2/JUP",11
"GOBP_POSITIVE_REGULATION_OF_CYTOSOLIC_CALCIUM_ION_CONCENTRATION_INVOLVED_IN_PHOSPHOLIPASE_C_ACTIVATING_G_PROTEIN_COUPLED_SIGNALING_PATHWAY","GOBP_POSITIVE_REGULATION_OF_CYTOSOLIC_CALCIUM_ION_CONCENTRATION_INVOLVED_IN_PHOSPHOLIPASE_C_ACTIVATING_G_PROTEIN_COUPLED_SIGNALING_PATHWAY","4/201","13/11404",5.91222203316831e-05,0.0080858330747743,0.00710198807699475,"EDN1/LPAR4/GPR174/AGTR1",4
"GOBP_REGULATION_OF_MUSCLE_CONTRACTION","GOBP_REGULATION_OF_MUSCLE_CONTRACTION","9/201","100/11404",6.53896956158271e-05,0.00844616901704434,0.00741848008740963,"TRPV4/EDN1/RGS2/ADORA1/RNF207/FGF13/SCN5A/RYR2/JUP",9
"GOBP_ION_HOMEOSTASIS","GOBP_ION_HOMEOSTASIS","21/201","466/11404",7.37187310113666e-05,0.0090208447158646,0.00792323203113857,"SV2A/CA12/TRPV4/EDN1/RAB38/MT1G/MCOLN3/ADORA1/GRIN2B/SCN5A/LPAR4/CALCB/CNNM1/GPR174/SPINK1/CCRL2/AGTR1/JPH2/FHL1/RYR2/S1PR3",21
"GOBP_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY","GOBP_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY","18/201","365/11404",7.96068316975831e-05,0.00925429418484404,0.00812827649964796,"EDN1/RGS2/ADORA1/RORB/SPNS2/ADGRL3/PLCB4/DGKE/LPAR4/CALCB/GPR174/CCRL2/LGR5/AGTR1/ADCY1/MGLL/GPR156/S1PR3",18
"GOBP_REGULATION_OF_SECRETION","GOBP_REGULATION_OF_SECRETION","18/201","372/11404",0.000101377856866728,0.0112239770102449,0.0098582978607244,"SV2A/UCP2/RAB15/EDN1/AACS/ANKRD1/EPHA5/ADORA1/MYH10/CD33/ADTRP/IL13RA2/SPINK1/SNCAIP/AGTR1/ADCY1/TTN/APBA1",18
