"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GOMF_LIGAND_GATED_ION_CHANNEL_ACTIVITY","GOMF_LIGAND_GATED_ION_CHANNEL_ACTIVITY","7/203","58/10680",0.000106889566197781,0.0256550873661799,0.0232371660354628,"GABRB2/ABCC9/MCOLN3/GRIN2B/GABRA6/KCNJ8/RYR2",7
"GOMF_GATED_CHANNEL_ACTIVITY","GOMF_GATED_CHANNEL_ACTIVITY","11/203","150/10680",0.000132584430832971,0.0256550873661799,0.0232371660354628,"GABRB2/ABCC9/TRPV4/MCOLN3/GRIN2B/GABRA6/CLCA3P/SCN5A/KCNJ8/RYR2/PIEZO2",11
"GOMF_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY","GOMF_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY","10/203","148/10680",0.000515729665472862,0.0634439956436186,0.0574645737775737,"ADORA1/RORB/ADGRL3/LPAR4/GPR174/CCRL2/LGR5/AGTR1/GPR156/S1PR3",10
"GOMF_CYTOKINE_RECEPTOR_ACTIVITY","GOMF_CYTOKINE_RECEPTOR_ACTIVITY","5/203","38/10680",0.00071165021924742,0.0634439956436186,0.0574645737775737,"GFRA1/IL1R1/IL13RA2/CCRL2/IL7R",5
"GOMF_HEAT_SHOCK_PROTEIN_BINDING","GOMF_HEAT_SHOCK_PROTEIN_BINDING","8/203","110/10680",0.00115960672074162,0.0634439956436186,0.0574645737775737,"HSPA1A/DNAJA4/FGF1/GBP1/ADORA1/RNF207/HSPA1L/HSPA2",8
"GOMF_CALMODULIN_BINDING","GOMF_CALMODULIN_BINDING","9/203","137/10680",0.00119379767820928,0.0634439956436186,0.0574645737775737,"DAPK1/TRPV4/RGS2/MYH10/SCN5A/MAP6/ADCY1/RYR2/TTN",9
"GOMF_LIGAND_GATED_CATION_CHANNEL_ACTIVITY","GOMF_LIGAND_GATED_CATION_CHANNEL_ACTIVITY","5/203","43/10680",0.00126387746973156,0.0634439956436186,0.0574645737775737,"ABCC9/MCOLN3/GRIN2B/KCNJ8/RYR2",5
"GOMF_BIOACTIVE_LIPID_RECEPTOR_ACTIVITY","GOMF_BIOACTIVE_LIPID_RECEPTOR_ACTIVITY","3/203","12/10680",0.0013115037859146,0.0634439956436186,0.0574645737775737,"LPAR4/GPR174/S1PR3",3
"GOMF_GABA_RECEPTOR_ACTIVITY","GOMF_GABA_RECEPTOR_ACTIVITY","3/203","13/10680",0.0016811937781714,0.07229133246137,0.0654780734656228,"GABRB2/GABRA6/GPR156",3
"GOMF_PHOSPHATIDYLCHOLINE_TRANSPORTER_ACTIVITY","GOMF_PHOSPHATIDYLCHOLINE_TRANSPORTER_ACTIVITY","3/203","14/10680",0.00210990839450193,0.0816534548672245,0.0739578416178043,"PLTP/ATP10B/ATP8B1",3
"GOMF_CATION_CHANNEL_ACTIVITY","GOMF_CATION_CHANNEL_ACTIVITY","9/203","155/10680",0.00279512219752117,0.0930805199104376,0.08430793725058,"ABCC9/TRPV4/MCOLN3/GRIN2B/CLCA3P/SCN5A/KCNJ8/RYR2/PIEZO2",9
"GOMF_IMMUNE_RECEPTOR_ACTIVITY","GOMF_IMMUNE_RECEPTOR_ACTIVITY","5/203","52/10680",0.00297310244989305,0.0930805199104376,0.08430793725058,"GFRA1/IL1R1/IL13RA2/CCRL2/IL7R",5
"GOMF_SPHINGOLIPID_TRANSPORTER_ACTIVITY","GOMF_SPHINGOLIPID_TRANSPORTER_ACTIVITY","3/203","16/10680",0.00315637128383943,0.0930805199104376,0.08430793725058,"PLTP/SPNS2/ATP10B",3
"GOMF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY","GOMF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY","4/203","33/10680",0.00336725395024839,0.0930805199104376,0.08430793725058,"GABRB2/ADORA1/GRIN2B/GABRA6",4
"GOMF_PASSIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","GOMF_PASSIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","11/203","230/10680",0.00447522897372674,0.110880416403239,0.100430242519458,"GABRB2/ABCC9/TRPV4/MCOLN3/GRIN2B/GABRA6/CLCA3P/SCN5A/KCNJ8/RYR2/PIEZO2",11
"GOMF_G_PROTEIN_COUPLED_RECEPTOR_BINDING","GOMF_G_PROTEIN_COUPLED_RECEPTOR_BINDING","8/203","137/10680",0.00458420326214942,0.110880416403239,0.100430242519458,"HSPA1A/UCHL1/EDN1/ADORA1/CCDC88C/CALCB/CCRL2/AGTR1",8
"GOMF_LIGAND_GATED_CALCIUM_CHANNEL_ACTIVITY","GOMF_LIGAND_GATED_CALCIUM_CHANNEL_ACTIVITY","3/203","19/10680",0.00523748904172956,0.11922989759702,0.107992808105012,"MCOLN3/GRIN2B/RYR2",3
"GOMF_TRANSMITTER_GATED_CHANNEL_ACTIVITY","GOMF_TRANSMITTER_GATED_CHANNEL_ACTIVITY","3/203","20/10680",0.00607643315092158,0.130643312744814,0.11833054030742,"GABRB2/GRIN2B/GABRA6",3
"GOMF_TRANSMEMBRANE_TRANSPORTER_BINDING","GOMF_TRANSMEMBRANE_TRANSPORTER_BINDING","6/203","91/10680",0.00765787908985618,0.155978905672334,0.141278323375186,"ABCC9/RNF207/FGF13/SCN5A/FHL1/RYR2",6
"GOMF_CARBOXYLIC_ACID_BINDING","GOMF_CARBOXYLIC_ACID_BINDING","6/203","94/10680",0.00892855565566836,0.172767551937183,0.156484685965135,"SHMT2/ST8SIA2/FABP6/GRIN2B/CD33/RTN4R",6
"GOMF_EXTRACELLULAR_LIGAND_GATED_ION_CHANNEL_ACTIVITY","GOMF_EXTRACELLULAR_LIGAND_GATED_ION_CHANNEL_ACTIVITY","3/203","26/10680",0.0127498703427698,0.234961896316757,0.212817384668788,"GABRB2/GRIN2B/GABRA6",3
"GOMF_MISFOLDED_PROTEIN_BINDING","GOMF_MISFOLDED_PROTEIN_BINDING","3/203","27/10680",0.014146319965768,0.246207423016589,0.223003051447094,"HSPA1A/HSPA1L/HSPA2",3
"GOMF_LIGAND_GATED_ANION_CHANNEL_ACTIVITY","GOMF_LIGAND_GATED_ANION_CHANNEL_ACTIVITY","2/203","10/10680",0.0146324825048619,0.246207423016589,0.223003051447094,"GABRB2/GABRA6",2
"GOMF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","GOMF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","5/203","77/10680",0.0154603836807912,0.249298686852759,0.225802972179977,"TRPV4/MCOLN3/GRIN2B/CLCA3P/RYR2",5
