"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_DN","5/60","84/3490",0.0138692995305907,0.334904673309203,0.323153632140459,"EDN1/EPHA5/CALCB/RYR2/IRS4",5
"HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY","7/60","163/3490",0.020421170453431,0.334904673309203,0.323153632140459,"RPS6KA2/CA12/LRIG1/AR/SYBU/GFRA1/ADCY1",7
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP","6/60","136/3490",0.0279087227757669,0.334904673309203,0.323153632140459,"SOX9/ST6GAL1/G0S2/CTSS/JUP/IL7R",6
"HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS","2/60","23/3490",0.058367650990372,0.471130375979678,0.454599485594426,"COL5A2/KCNJ8",2
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE","5/60","127/3490",0.065434774441622,0.471130375979678,0.454599485594426,"EDN1/NLRP3/IL1R1/CCRL2/IL7R",5
"HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM","5/60","148/3490",0.108689410987905,0.606290695310443,0.585017337580252,"SHMT2/IGFBP1/IL1R1/AOX1/JUP",5
"HALLMARK_SPERMATOGENESIS","HALLMARK_SPERMATOGENESIS","3/60","71/3490",0.121703056394004,0.606290695310443,0.585017337580252,"IL13RA2/HSPA1L/HSPA2",3
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA","5/60","170/3490",0.165809257263026,0.606290695310443,0.585017337580252,"GPC4/CA12/RRAGD/LOX/IGFBP1",5
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","2/60","44/3490",0.174281862326497,0.606290695310443,0.585017337580252,"MGST1/GPX3",2
"HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS","5/60","181/3490",0.198192842672684,0.606290695310443,0.585017337580252,"UCP2/MTARC2/GPX3/STAT5A/MGLL",5
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","5/60","181/3490",0.198192842672684,0.606290695310443,0.585017337580252,"EDN1/G0S2/STAT5A/CCRL2/IL7R",5
"HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP","4/60","139/3490",0.21527801202455,0.606290695310443,0.585017337580252,"BID/GPX3/TCHH/HSPA2",4
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN","4/60","140/3490",0.218938306639882,0.606290695310443,0.585017337580252,"COL5A2/PLCB4/MGMT/MGLL",4
"HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION","4/60","154/3490",0.271803061145636,0.66161954133835,0.638404820589636,"CD274/MYH10/JUP/NECTIN4",4
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING","4/60","155/3490",0.275674808890979,0.66161954133835,0.638404820589636,"LRIG1/RRAGD/HOPX/MAP6",4
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","4/60","175/3490",0.3546065447767,0.746067832985907,0.719890014284647,"COL5A2/FBN2/LOX/ABI3BP",4
"HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM","2/60","73/3490",0.358848244154184,0.746067832985907,0.719890014284647,"AR/DHCR24",2
"HALLMARK_APICAL_SURFACE","HALLMARK_APICAL_SURFACE","1/60","28/3490",0.385819258568354,0.746067832985907,0.719890014284647,"ATP8B1",1
"HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM","3/60","133/3490",0.402430928680587,0.746067832985907,0.719890014284647,"DHCR24/G0S2/MGLL",3
"HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS","3/60","138/3490",0.425820486694901,0.746067832985907,0.719890014284647,"BID/GPX3/MGMT",3
"HALLMARK_PEROXISOME","HALLMARK_PEROXISOME","2/60","87/3490",0.444217335616663,0.746067832985907,0.719890014284647,"DHCR24/FABP6",2
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","2/60","89/3490",0.455930342380276,0.746067832985907,0.719890014284647,"SAMD9L/CCRL2",2
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","3/60","158/3490",0.515872796215531,0.807453072337353,0.779121385588674,"CD274/SAMD9L/APOL6",3
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION","2/60","111/3490",0.574951797450136,0.809745363877164,0.781333245846386,"NLRP3/CTSS",2
"HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS","3/60","174/3490",0.58246857211311,0.809745363877164,0.781333245846386,"SOX9/GPC4/RRAGD",3
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","2/60","113/3490",0.584816096133507,0.809745363877164,0.781333245846386,"DNAJA4/IGFBP1",2
"HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS","2/60","121/3490",0.622620268453417,0.827540377032259,0.798503872574987,"GPX3/FHL1",2
"HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING","1/60","59/3490",0.643642515469535,0.827540377032259,0.798503872574987,"IL1R1",1
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT","2/60","148/3490",0.730993970203419,0.868057659226587,0.837599495744953,"HSPA1A/CTSS",2
"HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE","2/60","149/3490",0.734461177755923,0.868057659226587,0.837599495744953,"RPS6KA2/CA12",2
"HALLMARK_HEME_METABOLISM","HALLMARK_HEME_METABOLISM","2/60","164/3490",0.782141515400294,0.868057659226587,0.837599495744953,"UCP2/KDM7A",2
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANDROGEN_RESPONSE","1/60","92/3490",0.80146191970346,0.868057659226587,0.837599495744953,"DHCR24",1
"HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION","1/60","94/3490",0.808412382888512,0.868057659226587,0.837599495744953,"SCRN1",1
"HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY","2/60","178/3490",0.819832233713999,0.868057659226587,0.837599495744953,"FGF13/TCHH",2
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING","2/60","193/3490",0.853756147759184,0.878149180552303,0.8473369286031,"SHMT2/DHCR24",2
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","1/60","198/3490",0.970848614861608,0.970848614861608,0.936783751182254,"MYH10",1
