"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION","KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION","8/71","83/3529",0.000212684591119901,0.0187162440185513,0.018358038391402,"GABRB2/ADORA1/GRIN2B/GABRA6/LPAR4/AGTR1/GPR156/S1PR3",8
"KEGG_HEMATOPOIETIC_CELL_LINEAGE","KEGG_HEMATOPOIETIC_CELL_LINEAGE","4/71","39/3529",0.00727501771990194,0.320100779675685,0.313974448964189,"KITLG/CD33/IL1R1/IL7R",4
"KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION","KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION","4/71","50/3529",0.0172647043408485,0.433314388663002,0.425021290315384,"HSPA1A/CTSS/HSPA1L/HSPA2",4
"KEGG_LONG_TERM_POTENTIATION","KEGG_LONG_TERM_POTENTIATION","4/71","52/3529",0.019696108575591,0.433314388663002,0.425021290315384,"RPS6KA2/GRIN2B/PLCB4/ADCY1",4
"KEGG_JAK_STAT_SIGNALING_PATHWAY","KEGG_JAK_STAT_SIGNALING_PATHWAY","5/71","85/3529",0.0270310237462607,0.475746017934188,0.466640830988079,"TSLP/SPRY3/STAT5A/IL13RA2/IL7R",5
"KEGG_MELANOGENESIS","KEGG_MELANOGENESIS","4/71","67/3529",0.044589765330778,0.653983224851411,0.641466799495403,"EDN1/KITLG/PLCB4/ADCY1",4
"KEGG_AXON_GUIDANCE","KEGG_AXON_GUIDANCE","5/71","103/3529",0.0547697319787302,0.657127935254455,0.644551324053413,"PLXNA2/SEMA7A/EPHA5/SEMA3D/PLXNC1",5
"KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM","KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM","2/71","20/3529",0.0600614669859003,0.657127935254455,0.644551324053413,"NMNAT2/AOX1",2
"KEGG_DRUG_METABOLISM_CYTOCHROME_P450","KEGG_DRUG_METABOLISM_CYTOCHROME_P450","2/71","23/3529",0.0769744821229851,0.657127935254455,0.644551324053413,"MGST1/AOX1",2
"KEGG_PATHWAYS_IN_CANCER","KEGG_PATHWAYS_IN_CANCER","9/71","263/3529",0.0786259855697536,0.657127935254455,0.644551324053413,"DAPK1/BID/AR/FGF1/KITLG/STAT5A/FGF13/GLI2/JUP",9
"KEGG_PRION_DISEASES","KEGG_PRION_DISEASES","2/71","24/3529",0.0829114367441093,0.657127935254455,0.644551324053413,"HSPA1A/NCAM2",2
"KEGG_DILATED_CARDIOMYOPATHY","KEGG_DILATED_CARDIOMYOPATHY","3/71","53/3529",0.0896083548074256,0.657127935254455,0.644551324053413,"ADCY1/RYR2/TTN",3
"KEGG_MAPK_SIGNALING_PATHWAY","KEGG_MAPK_SIGNALING_PATHWAY","7/71","202/3529",0.109100082053644,0.707157375237204,0.693623262792473,"HSPA1A/RPS6KA2/FGF1/FGF13/IL1R1/HSPA1L/HSPA2",7
"KEGG_OOCYTE_MEIOSIS","KEGG_OOCYTE_MEIOSIS","4/71","92/3529",0.112502309696828,0.707157375237204,0.693623262792473,"RPS6KA2/AR/CPEB1/ADCY1",4
"KEGG_CALCIUM_SIGNALING_PATHWAY","KEGG_CALCIUM_SIGNALING_PATHWAY","4/71","103/3529",0.151711814777491,0.712245490216339,0.698613997580619,"PLCB4/AGTR1/ADCY1/RYR2",4
"KEGG_GLUTATHIONE_METABOLISM","KEGG_GLUTATHIONE_METABOLISM","2/71","35/3529",0.155628819138971,0.712245490216339,0.698613997580619,"MGST1/GPX3",2
