"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS","REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS","8/141","104/7682",0.000617147356695337,0.183200508531271,0.175580511608918,"RPS6KA2/EDN1/RGS2/PLCB4/DGKE/LPAR4/AGTR1/MGLL",8
"REACTOME_SIGNALING_BY_GPCR","REACTOME_SIGNALING_BY_GPCR","14/141","305/7682",0.00137163270930583,0.183200508531271,0.175580511608918,"RPS6KA2/EDN1/RGS2/ADORA1/PLCB4/DGKE/LPAR4/CALCB/CCRL2/AGTR1/ADCY1/MCF2L/MGLL/S1PR3",14
"REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR_IN_THE_PRESENCE_OF_LIGAND","REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR_IN_THE_PRESENCE_OF_LIGAND","5/141","47/7682",0.00160165704638684,0.183200508531271,0.175580511608918,"HSPA1A/AR/DNAJA4/HSPA1L/HSPA2",5
"REACTOME_OTHER_SEMAPHORIN_INTERACTIONS","REACTOME_OTHER_SEMAPHORIN_INTERACTIONS","3/141","14/7682",0.00189954484669247,0.183200508531271,0.175580511608918,"PLXNA2/SEMA7A/PLXNC1",3
"REACTOME_METABOLISM_OF_FOLATE_AND_PTERINES","REACTOME_METABOLISM_OF_FOLATE_AND_PTERINES","3/141","15/7682",0.00234271750039988,0.183200508531271,0.175580511608918,"SHMT2/ALDH1L2/SLC25A32",3
"REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS","REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS","6/141","79/7682",0.00318403727907806,0.20749309601992,0.198862679184524,"EDN1/ADORA1/LPAR4/CCRL2/AGTR1/S1PR3",6
"REACTOME_INTERLEUKIN_7_SIGNALING","REACTOME_INTERLEUKIN_7_SIGNALING","3/141","23/7682",0.00819202898721184,0.368300332034514,0.352981338549703,"TSLP/STAT5A/IL7R",3
"REACTOME_ATTENUATION_PHASE","REACTOME_ATTENUATION_PHASE","3/141","24/7682",0.00923824456711854,0.368300332034514,0.352981338549703,"HSPA1A/HSPA1L/HSPA2",3
"REACTOME_NCAM1_INTERACTIONS","REACTOME_NCAM1_INTERACTIONS","3/141","24/7682",0.00923824456711854,0.368300332034514,0.352981338549703,"COL5A2/ST8SIA2/GFRA1",3
"REACTOME_GPCR_LIGAND_BINDING","REACTOME_GPCR_LIGAND_BINDING","7/141","129/7682",0.00941944583208476,0.368300332034514,0.352981338549703,"EDN1/ADORA1/LPAR4/CALCB/CCRL2/AGTR1/S1PR3",7
"REACTOME_NEURONAL_SYSTEM","REACTOME_NEURONAL_SYSTEM","10/141","244/7682",0.0141131901852317,0.477858279494396,0.45798235967157,"RPS6KA2/GABRB2/ABCC9/GRIN2B/GABRA6/NRXN3/KCNJ8/PPFIA2/ADCY1/APBA1",10
"REACTOME_SEMAPHORIN_INTERACTIONS","REACTOME_SEMAPHORIN_INTERACTIONS","4/141","53/7682",0.0158948031608977,0.477858279494396,0.45798235967157,"PLXNA2/SEMA7A/MYH10/PLXNC1",4
"REACTOME_N_GLYCAN_ANTENNAE_ELONGATION","REACTOME_N_GLYCAN_ANTENNAE_ELONGATION","2/141","11/7682",0.0165060886594294,0.477858279494396,0.45798235967157,"ST6GAL1/ST8SIA2",2
"REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE","REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE","3/141","30/7682",0.0171100151225615,0.477858279494396,0.45798235967157,"KRT34/TCHH/JUP",3
"REACTOME_HSF1_DEPENDENT_TRANSACTIVATION","REACTOME_HSF1_DEPENDENT_TRANSACTIVATION","3/141","31/7682",0.0186937606503738,0.487284027619744,0.467016055546181,"HSPA1A/HSPA1L/HSPA2",3
"REACTOME_KERATINIZATION","REACTOME_KERATINIZATION","3/141","32/7682",0.0203561941599176,0.497454494782987,0.476763494798071,"KRT34/TCHH/JUP",3
"REACTOME_CARDIAC_CONDUCTION","REACTOME_CARDIAC_CONDUCTION","4/141","60/7682",0.0240048696591875,0.503901750564729,0.482942585007521,"ABCC9/FGF13/SCN5A/RYR2",4
"REACTOME_GABA_RECEPTOR_ACTIVATION","REACTOME_GABA_RECEPTOR_ACTIVATION","3/141","35/7682",0.02581667790244,0.503901750564729,0.482942585007521,"GABRB2/GABRA6/ADCY1",3
"REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES","REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES","4/141","64/7682",0.0295847663285981,0.503901750564729,0.482942585007521,"GRIN2B/NRXN3/PPFIA2/APBA1",4
"REACTOME_TRIGLYCERIDE_CATABOLISM","REACTOME_TRIGLYCERIDE_CATABOLISM","2/141","15/7682",0.030040395223946,0.503901750564729,0.482942585007521,"FABP6/MGLL",2
"REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION","REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION","6/141","130/7682",0.0321241606331374,0.503901750564729,0.482942585007521,"RPS6KA2/GABRB2/GRIN2B/GABRA6/ADCY1/APBA1",6
"REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES","REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES","7/141","169/7682",0.0356755251454472,0.503901750564729,0.482942585007521,"RPS6KA2/GABRB2/GRIN2B/GABRA6/PPFIA2/ADCY1/APBA1",7
"REACTOME_MUSCLE_CONTRACTION","REACTOME_MUSCLE_CONTRACTION","5/141","100/7682",0.0364680005997119,0.503901750564729,0.482942585007521,"ABCC9/FGF13/SCN5A/RYR2/TTN",5
"REACTOME_NEUREXINS_AND_NEUROLIGINS","REACTOME_NEUREXINS_AND_NEUROLIGINS","3/141","40/7682",0.036487871035506,0.503901750564729,0.482942585007521,"GRIN2B/NRXN3/APBA1",3
"REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE","REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE","2/141","17/7682",0.037994410775557,0.503901750564729,0.482942585007521,"PPFIA2/APBA1",2
"REACTOME_INWARDLY_RECTIFYING_K_CHANNELS","REACTOME_INWARDLY_RECTIFYING_K_CHANNELS","2/141","17/7682",0.037994410775557,0.503901750564729,0.482942585007521,"ABCC9/KCNJ8",2
"REACTOME_N_GLYCAN_ANTENNAE_ELONGATION_IN_THE_MEDIAL_TRANS_GOLGI","REACTOME_N_GLYCAN_ANTENNAE_ELONGATION_IN_THE_MEDIAL_TRANS_GOLGI","2/141","17/7682",0.037994410775557,0.503901750564729,0.482942585007521,"ST6GAL1/ST8SIA2",2
"REACTOME_PHASE_0_RAPID_DEPOLARISATION","REACTOME_PHASE_0_RAPID_DEPOLARISATION","2/141","17/7682",0.037994410775557,0.503901750564729,0.482942585007521,"FGF13/SCN5A",2
"REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH","REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH","3/141","42/7682",0.0412982854769831,0.503901750564729,0.482942585007521,"COL5A2/ST8SIA2/GFRA1",3
"REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS","REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS","3/141","42/7682",0.0412982854769831,0.503901750564729,0.482942585007521,"EDN1/CCRL2/AGTR1",3
"REACTOME_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS","REACTOME_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS","5/141","104/7682",0.0420684432421201,0.503901750564729,0.482942585007521,"SHMT2/ALDH1L2/SLC25A32/NMNAT2/AOX1",5
"REACTOME_TRP_CHANNELS","REACTOME_TRP_CHANNELS","2/141","18/7682",0.0422392601391703,0.503901750564729,0.482942585007521,"TRPV4/MCOLN3",2
"REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS","REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS","4/141","72/7682",0.0428767094737083,0.503901750564729,0.482942585007521,"RPS6KA2/GRIN2B/ADCY1/APBA1",4
