"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GOCC_MHC_PROTEIN_COMPLEX","GOCC_MHC_PROTEIN_COMPLEX","16/191","22/9763",1.64586056948263e-23,4.03235839523245e-21,2.92789932886911e-21,"HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD74/HLA-DMB/HLA-DMA/HLA-E/HLA-B/HLA-F/HLA-DQB2/HLA-DOA/HLA-DOB",16
"GOCC_MHC_CLASS_II_PROTEIN_COMPLEX","GOCC_MHC_CLASS_II_PROTEIN_COMPLEX","13/191","14/9763",5.61912061129064e-22,6.88342274883104e-20,4.99805991214799e-20,"HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD74/HLA-DMB/HLA-DMA/HLA-DQB2/HLA-DOA/HLA-DOB",13
"GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE","GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE","32/191","302/9763",2.87976487700715e-15,2.35180798288917e-13,1.70765004987441e-13,"MMP2/WNT5A/COL1A1/PLAT/TGFB1/SDC3/COL18A1/GPC6/LTBP4/SMOC1/LTBP3/COL5A1/LAMA4/MATN2/DMBT1/APLP1/SSC5D/FIBCD1/SEMA3B/HMCN1/COL9A3/MMP24/LRRTM4/FLG/OLFML2B/ADAMTS14/ANGPTL4/COL22A1/CCN5/CCN4/COL15A1/SERPINF1",32
"GOCC_LUMENAL_SIDE_OF_ENDOPLASMIC_RETICULUM_MEMBRANE","GOCC_LUMENAL_SIDE_OF_ENDOPLASMIC_RETICULUM_MEMBRANE","12/191","24/9763",4.89927155980832e-15,3.00080383038259e-13,2.17888656212528e-13,"HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD74/HLA-E/HLA-B/HLA-F/HLA-DQB2",12
"GOCC_LUMENAL_SIDE_OF_MEMBRANE","GOCC_LUMENAL_SIDE_OF_MEMBRANE","12/191","29/9763",8.63230923671557e-14,4.22983152599063e-12,3.07128476001038e-12,"HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD74/HLA-E/HLA-B/HLA-F/HLA-DQB2",12
"GOCC_TRANSPORT_VESICLE_MEMBRANE","GOCC_TRANSPORT_VESICLE_MEMBRANE","21/191","146/9763",6.39459450568504e-13,2.61112608982139e-11,1.89594117800135e-11,"HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD74/TGFA/HLA-E/HLA-B/DRD2/HLA-F/HLA-DQB2/SYNGR1/CNIH2/BSN/SYT5/RAB26/PTPRN/SYP",21
"GOCC_ER_TO_GOLGI_TRANSPORT_VESICLE_MEMBRANE","GOCC_ER_TO_GOLGI_TRANSPORT_VESICLE_MEMBRANE","14/191","54/9763",1.22082635556819e-12,4.27289224448865e-11,3.1025511893387e-11,"HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD74/TGFA/HLA-E/HLA-B/HLA-F/HLA-DQB2/CNIH2",14
"GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX","GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX","24/191","235/9763",2.53974244169431e-11,7.77796122768882e-10,5.64758516639919e-10,"MMP2/WNT5A/COL1A1/PLAT/TGFB1/SDC3/COL18A1/GPC6/LTBP4/SMOC1/LTBP3/COL5A1/LAMA4/MATN2/APLP1/SSC5D/FIBCD1/SEMA3B/HMCN1/COL9A3/FLG/ANGPTL4/COL15A1/SERPINF1",24
"GOCC_COPII_COATED_ER_TO_GOLGI_TRANSPORT_VESICLE","GOCC_COPII_COATED_ER_TO_GOLGI_TRANSPORT_VESICLE","15/191","83/9763",5.15168550386102e-11,1.40240327605106e-09,1.01828637444738e-09,"HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD74/TGFA/HLA-E/HLA-B/HLA-F/HLA-DQB2/CNIH2/PITPNM3",15
"GOCC_TRANSPORT_VESICLE","GOCC_TRANSPORT_VESICLE","26/191","303/9763",1.78116192123846e-10,4.36384670703422e-09,3.16859331251894e-09,"HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD74/TGFA/HLA-E/HLA-B/DRD2/HLA-F/HLA-DQB2/SYNGR1/CNIH2/SNAP25/KIRREL3/BSN/TRIM9/GRIN2A/RAB3D/SYT5/RAB26/PTPRN/SYP",26
"GOCC_CLATHRIN_COATED_ENDOCYTIC_VESICLE","GOCC_CLATHRIN_COATED_ENDOCYTIC_VESICLE","12/191","61/9763",1.67741229705282e-09,3.73605466161763e-08,2.71275290145384e-08,"HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD74/TGFA/WNT5A/HLA-DQB2/INPP5F",12
