"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GOMF_MHC_CLASS_II_PROTEIN_COMPLEX_BINDING","GOMF_MHC_CLASS_II_PROTEIN_COMPLEX_BINDING","13/201","22/10680",1.07989963075275e-17,3.99562863378519e-15,3.55798509921697e-15,"HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD74/HLA-DMB/HLA-DMA/HLA-DQB2/HLA-DOA/HLA-DOB",13
"GOMF_MHC_PROTEIN_COMPLEX_BINDING","GOMF_MHC_PROTEIN_COMPLEX_BINDING","13/201","24/10680",5.2432077492646e-17,9.69993433613952e-15,8.63749487115695e-15,"HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD74/HLA-DMB/HLA-DMA/HLA-DQB2/HLA-DOA/HLA-DOB",13
"GOMF_PEPTIDE_ANTIGEN_BINDING","GOMF_PEPTIDE_ANTIGEN_BINDING","10/201","21/10680",1.31324124737223e-12,1.61966420509242e-10,1.44226144009652e-10,"HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/HLA-E/HLA-B/HLA-F",10
"GOMF_ANTIGEN_BINDING","GOMF_ANTIGEN_BINDING","11/201","33/10680",1.07573342099644e-11,9.95053414421706e-10,8.86064633610225e-10,"HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/HLA-E/HLA-B/HLA-F/TGFB1",11
"GOMF_IMMUNE_RECEPTOR_ACTIVITY","GOMF_IMMUNE_RECEPTOR_ACTIVITY","11/201","52/10680",2.4566058505588e-09,1.81788832941351e-07,1.61877396047348e-07,"HLA-DRA/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/CD74/HLA-DQB2/HLA-DOA/FPR1/HLA-DOB/IL22RA1",11
"GOMF_SIGNALING_RECEPTOR_REGULATOR_ACTIVITY","GOMF_SIGNALING_RECEPTOR_REGULATOR_ACTIVITY","15/201","205/10680",7.26051851201454e-06,0.000444175362937191,0.000395524576385037,"TGFA/WNT5A/TGFB1/IL11/MIA/FGF12/SCG2/NRG2/SEMA3A/SEMA3B/CD70/TNFSF9/IL6/SEMA6B/WNT7B",15
"GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT","GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT","10/201","92/10680",8.40331767719009e-06,0.000444175362937191,0.000395524576385037,"COL1A1/COL18A1/LTBP4/COL5A1/LAMA4/MATN2/HMCN1/COL9A3/COL22A1/COL15A1",10
"GOMF_PEPTIDE_BINDING","GOMF_PEPTIDE_BINDING","14/201","199/10680",2.29959683715819e-05,0.00106356353718566,0.000947070802671728,"HLA-DRA/HLA-DPB1/HLA-DPA1/PTGES/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD74/HLA-E/HLA-B/HLA-F/GRIN2A/GIPR",14
"GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT_CONFERRING_TENSILE_STRENGTH","GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT_CONFERRING_TENSILE_STRENGTH","5/201","26/10680",0.000107093286615259,0.00440272400529398,0.00392049107726036,"COL1A1/COL18A1/COL5A1/COL9A3/COL15A1",5
"GOMF_CYTOKINE_ACTIVITY","GOMF_CYTOKINE_ACTIVITY","8/201","83/10680",0.000161308887657811,0.00596842884333902,0.0053147033512521,"WNT5A/TGFB1/IL11/SCG2/CD70/TNFSF9/IL6/WNT7B",8
"GOMF_AMIDE_BINDING","GOMF_AMIDE_BINDING","14/201","266/10680",0.000499921767041474,0.0156208104452348,0.0139098539668805,"HLA-DRA/HLA-DPB1/HLA-DPA1/PTGES/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD74/HLA-E/HLA-B/HLA-F/GRIN2A/GIPR",14
"GOMF_SERINE_HYDROLASE_ACTIVITY","GOMF_SERINE_HYDROLASE_ACTIVITY","7/201","75/10680",0.000506620879304911,0.0156208104452348,0.0139098539668805,"MMP2/PLAT/C1R/C1RL/PRSS33/CORIN/PRSS27",7
"GOMF_GROWTH_FACTOR_ACTIVITY","GOMF_GROWTH_FACTOR_ACTIVITY","7/201","82/10680",0.000868793225917666,0.0239094427380719,0.0212906275306302,"TGFA/TGFB1/IL11/MIA/FGF12/NRG2/IL6",7
"GOMF_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","GOMF_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","6/201","61/10680",0.000968100147794484,0.0239094427380719,0.0212906275306302,"KCND1/SLC9A7/SNAP25/GRIK2/SLC12A8/HCN1",6
"GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_SINGLE_DONORS_WITH_INCORPORATION_OF_MOLECULAR_OXYGEN","GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_SINGLE_DONORS_WITH_INCORPORATION_OF_MOLECULAR_OXYGEN","3/201","11/10680",0.000969301732624536,0.0239094427380719,0.0212906275306302,"PTGS2/ALOX5AP/ALOXE3",3
"GOMF_GROWTH_FACTOR_BINDING","GOMF_GROWTH_FACTOR_BINDING","7/201","97/10680",0.00231778973796844,0.0535988876905202,0.0477281702621133,"COL1A1/ERBB3/LTBP4/LTBP3/COL5A1/CCN5/CCN4",7
"GOMF_VOLTAGE_GATED_CATION_CHANNEL_ACTIVITY","GOMF_VOLTAGE_GATED_CATION_CHANNEL_ACTIVITY","5/201","55/10680",0.00364410088054711,0.0793127838707313,0.0706256083969812,"KCND1/CACNG7/SNAP25/HCN1/GRIN2A",5
"GOMF_SEMAPHORIN_RECEPTOR_BINDING","GOMF_SEMAPHORIN_RECEPTOR_BINDING","3/201","19/10680",0.00509489031348477,0.104728300888298,0.0932573490129084,"SEMA3A/SEMA3B/SEMA6B",3
"GOMF_EXTRACELLULAR_MATRIX_BINDING","GOMF_EXTRACELLULAR_MATRIX_BINDING","4/201","39/10680",0.00598406464064718,0.11653178510734,0.103767990721472,"SMOC1/DMBT1/SSC5D/OLFML2B",4
"GOMF_SODIUM_CHANNEL_ACTIVITY","GOMF_SODIUM_CHANNEL_ACTIVITY","3/201","21/10680",0.00680263765183868,0.124755600005097,0.111091046377227,"TRPM4/GRIK2/HCN1",3
"GOMF_GATED_CHANNEL_ACTIVITY","GOMF_GATED_CHANNEL_ACTIVITY","8/201","150/10680",0.00739625005276324,0.124755600005097,0.111091046377227,"KCND1/CACNG7/TTYH2/TRPM4/SNAP25/GRIK2/HCN1/GRIN2A",8
"GOMF_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","GOMF_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","10/201","216/10680",0.007704266069205,0.124755600005097,0.111091046377227,"KCND1/SLC9A7/CACNG7/TRPM4/SNAP25/ORAI3/GRIK2/SLC12A8/HCN1/GRIN2A",10
"GOMF_GLYCOSAMINOGLYCAN_BINDING","GOMF_GLYCOSAMINOGLYCAN_BINDING","7/201","122/10680",0.00816815384242603,0.124755600005097,0.111091046377227,"CHODL/LTBP4/SMOC1/COL5A1/APLP1/CCN5/CCN4",7
"GOMF_LIGAND_GATED_CATION_CHANNEL_ACTIVITY","GOMF_LIGAND_GATED_CATION_CHANNEL_ACTIVITY","4/201","43/10680",0.00847086429677188,0.124755600005097,0.111091046377227,"TRPM4/GRIK2/HCN1/GRIN2A",4
"GOMF_POTASSIUM_CHANNEL_ACTIVITY","GOMF_POTASSIUM_CHANNEL_ACTIVITY","4/201","43/10680",0.00847086429677188,0.124755600005097,0.111091046377227,"KCND1/SNAP25/GRIK2/HCN1",4
"GOMF_CATION_CHANNEL_ACTIVITY","GOMF_CATION_CHANNEL_ACTIVITY","8/201","155/10680",0.00893969927334922,0.124755600005097,0.111091046377227,"KCND1/CACNG7/TRPM4/SNAP25/ORAI3/GRIK2/HCN1/GRIN2A",8
"GOMF_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","GOMF_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","17/201","481/10680",0.00929648211365947,0.124755600005097,0.111091046377227,"MFSD12/KCND1/SLC26A2/ATP6V0A4/SLC9A7/CACNG7/TTYH2/TRPM4/SLC44A2/SNAP25/ORAI3/SLC37A1/GRIK2/SLC12A8/HCN1/SLCO5A1/GRIN2A",17
"GOMF_CHEMOREPELLENT_ACTIVITY","GOMF_CHEMOREPELLENT_ACTIVITY","3/201","24/10680",0.00993345974767533,0.124755600005097,0.111091046377227,"SEMA3A/SEMA3B/SEMA6B",3
"GOMF_STRUCTURAL_MOLECULE_ACTIVITY","GOMF_STRUCTURAL_MOLECULE_ACTIVITY","16/201","446/10680",0.0100609912791773,0.124755600005097,0.111091046377227,"HLA-DRB1/COL1A1/COL18A1/LTBP4/COL5A1/LAMA4/BSN/SORBS2/MATN2/HMCN1/KRT14/COL9A3/FLG/COL22A1/COL15A1/PANX2",16
"GOMF_CYTOKINE_BINDING","GOMF_CYTOKINE_BINDING","5/201","70/10680",0.0101153189193322,0.124755600005097,0.111091046377227,"CD74/LTBP4/LTBP3/TNFRSF11A/IL22RA1",5
"GOMF_CALCIUM_ION_BINDING","GOMF_CALCIUM_ION_BINDING","15/201","411/10680",0.0108369391644795,0.129344112608304,0.115176976518916,"PCDH1/C1R/LTBP4/CLSTN3/TRPM4/SMOC1/LTBP3/PCDHB2/MATN2/HMCN1/FLG/PITPNM3/PLCD4/SYT5/S100Z",15
"GOMF_PASSIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","GOMF_PASSIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","10/201","230/10680",0.0116827025671415,0.135081248432573,0.120285720510371,"KCND1/CACNG7/TTYH2/TRPM4/SNAP25/ORAI3/GRIK2/HCN1/GRIN2A/PANX2",10
"GOMF_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","GOMF_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","13/201","355/10680",0.0167303641103795,0.182222894126176,0.162263914257449,"MFSD12/KCND1/ATP6V0A4/SLC9A7/CACNG7/TRPM4/SLC44A2/SNAP25/ORAI3/GRIK2/SLC12A8/HCN1/GRIN2A",13
"GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PEROXIDE_AS_ACCEPTOR","GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PEROXIDE_AS_ACCEPTOR","3/201","29/10680",0.0167448064872703,0.182222894126176,0.162263914257449,"PTGES/PTGS2/ALOX5AP",3
"GOMF_INORGANIC_MOLECULAR_ENTITY_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","GOMF_INORGANIC_MOLECULAR_ENTITY_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","14/201","397/10680",0.017863573899012,0.188843495503841,0.168159357304985,"KCND1/SLC26A2/ATP6V0A4/SLC9A7/CACNG7/TTYH2/TRPM4/SNAP25/ORAI3/SLC37A1/GRIK2/SLC12A8/HCN1/GRIN2A",14
"GOMF_VOLTAGE_GATED_POTASSIUM_CHANNEL_ACTIVITY","GOMF_VOLTAGE_GATED_POTASSIUM_CHANNEL_ACTIVITY","3/201","31/10680",0.0200433541503097,0.205468116046353,0.182963073463751,"KCND1/SNAP25/HCN1",3
"GOMF_HMG_BOX_DOMAIN_BINDING","GOMF_HMG_BOX_DOMAIN_BINDING","2/201","12/10680",0.0205468116046353,0.205468116046353,0.182963073463751,"HOXA3/EGR2",2
"GOMF_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY","GOMF_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY","7/201","148/10680",0.0217464945831959,0.207851972286476,0.185085824539593,"DRD2/S1PR2/TBXA2R/ADGRB2/FPR1/GPR19/GIPR",7
"GOMF_VOLTAGE_GATED_CHANNEL_ACTIVITY","GOMF_VOLTAGE_GATED_CHANNEL_ACTIVITY","5/201","85/10680",0.0219087214031691,0.207851972286476,0.185085824539593,"KCND1/CACNG7/SNAP25/HCN1/GRIN2A",5
"GOMF_LIGAND_GATED_ION_CHANNEL_ACTIVITY","GOMF_LIGAND_GATED_ION_CHANNEL_ACTIVITY","4/201","58/10680",0.0234436344582455,0.21364140490111,0.190241137223464,"TRPM4/GRIK2/HCN1/GRIN2A",4
"GOMF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY","GOMF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY","3/201","33/10680",0.0236737772998528,0.21364140490111,0.190241137223464,"DRD2/GRIK2/GRIN2A",3
"GOMF_HEPARIN_BINDING","GOMF_HEPARIN_BINDING","5/201","89/10680",0.0261224640315015,0.230126468848941,0.204920582502756,"SMOC1/COL5A1/APLP1/CCN5/CCN4",5
"GOMF_SUGAR_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","GOMF_SUGAR_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","2/201","14/10680",0.02764123722551,0.237843204033458,0.211792099181998,"SLC2A12/SLC2A11",2
"GOMF_GLUTATHIONE_PEROXIDASE_ACTIVITY","GOMF_GLUTATHIONE_PEROXIDASE_ACTIVITY","2/201","15/10680",0.0315047376717644,0.253407672577236,0.225651782408747,"PTGES/ALOX5AP",2
"GOMF_IONOTROPIC_GLUTAMATE_RECEPTOR_BINDING","GOMF_IONOTROPIC_GLUTAMATE_RECEPTOR_BINDING","2/201","15/10680",0.0315047376717644,0.253407672577236,0.225651782408747,"DRD2/SHANK3",2
"GOMF_POLYSACCHARIDE_BINDING","GOMF_POLYSACCHARIDE_BINDING","2/201","15/10680",0.0315047376717644,0.253407672577236,0.225651782408747,"HLA-DRA/HLA-DRB1",2
"GOMF_ENDOPEPTIDASE_ACTIVITY","GOMF_ENDOPEPTIDASE_ACTIVITY","9/201","235/10680",0.0336289318841645,0.258237895459844,0.229952948161966,"MMP2/PLAT/C1R/C1RL/PRSS33/MMP24/ADAMTS14/CORIN/PRSS27",9
"GOMF_SODIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","GOMF_SODIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","4/201","65/10680",0.0338354817366732,0.258237895459844,0.229952948161966,"SLC9A7/TRPM4/GRIK2/HCN1",4
"GOMF_PEPTIDE_RECEPTOR_ACTIVITY","GOMF_PEPTIDE_RECEPTOR_ACTIVITY","3/201","38/10680",0.0341990726419793,0.258237895459844,0.229952948161966,"S1PR2/FPR1/GIPR",3
"GOMF_GLUTATHIONE_TRANSFERASE_ACTIVITY","GOMF_GLUTATHIONE_TRANSFERASE_ACTIVITY","2/201","17/10680",0.0398191458288328,0.288883999150355,0.257242366241995,"PTGES/ALOX5AP",2
"GOMF_TRANSFORMING_GROWTH_FACTOR_BETA_BINDING","GOMF_TRANSFORMING_GROWTH_FACTOR_BETA_BINDING","2/201","17/10680",0.0398191458288328,0.288883999150355,0.257242366241995,"LTBP4/LTBP3",2
"GOMF_NUCLEAR_RECEPTOR_ACTIVITY","GOMF_NUCLEAR_RECEPTOR_ACTIVITY","3/201","41/10680",0.0414951519085443,0.295253965503104,0.262914626465068,"AHRR/PPARA/RORA",3
"GOMF_CHEMOATTRACTANT_ACTIVITY","GOMF_CHEMOATTRACTANT_ACTIVITY","2/201","18/10680",0.0442527727051233,0.300700352516351,0.267764467532341,"WNT5A/SCG2",2
"GOMF_G_PROTEIN_COUPLED_RECEPTOR_BINDING","GOMF_G_PROTEIN_COUPLED_RECEPTOR_BINDING","6/201","137/10680",0.0446987010497278,0.300700352516351,0.267764467532341,"WNT5A/S1PR2/APLP1/FPR1/ARRB1/WNT7B",6
"GOMF_SECONDARY_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","GOMF_SECONDARY_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","6/201","137/10680",0.0446987010497278,0.300700352516351,0.267764467532341,"MFSD12/SLC26A2/SLC9A7/SLC37A1/SLC12A8/SLCO5A1",6
"GOMF_LIGAND_GATED_CALCIUM_CHANNEL_ACTIVITY","GOMF_LIGAND_GATED_CALCIUM_CHANNEL_ACTIVITY","2/201","19/10680",0.0488595823982572,0.317158692760617,0.282420116170905,"TRPM4/GRIN2A",2
"GOMF_MHC_PROTEIN_BINDING","GOMF_MHC_PROTEIN_BINDING","2/201","19/10680",0.0488595823982572,0.317158692760617,0.282420116170905,"CD74/HLA-E",2
"GOMF_HYDRO_LYASE_ACTIVITY","GOMF_HYDRO_LYASE_ACTIVITY","3/201","45/10680",0.0523347874690677,0.325306166517915,0.289675192375839,"CA11/CYP1A1/ALOXE3",3
"GOMF_DIOXYGENASE_ACTIVITY","GOMF_DIOXYGENASE_ACTIVITY","4/201","75/10680",0.0526691571420979,0.325306166517915,0.289675192375839,"PTGS2/ALOX5AP/ASPHD1/ALOXE3",4
"GOMF_INTEGRIN_BINDING","GOMF_INTEGRIN_BINDING","5/201","108/10680",0.0529757751197316,0.325306166517915,0.289675192375839,"S1PR2/LTBP4/COL5A1/CCN5/CCN4",5
"GOMF_TRANSMITTER_GATED_CHANNEL_ACTIVITY","GOMF_TRANSMITTER_GATED_CHANNEL_ACTIVITY","2/201","20/10680",0.0536315571826832,0.325306166517915,0.289675192375839,"GRIK2/GRIN2A",2
"GOMF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","GOMF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","4/201","77/10680",0.0569997223956415,0.333346759066468,0.296835094133156,"CACNG7/TRPM4/ORAI3/GRIN2A",4
"GOMF_CARBOHYDRATE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","GOMF_CARBOHYDRATE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","2/201","21/10680",0.0585609171332984,0.333346759066468,0.296835094133156,"SLC2A12/SLC2A11",2
"GOMF_DEAMINASE_ACTIVITY","GOMF_DEAMINASE_ACTIVITY","2/201","21/10680",0.0585609171332984,0.333346759066468,0.296835094133156,"ADARB1/ADA",2
"GOMF_TUMOR_NECROSIS_FACTOR_RECEPTOR_BINDING","GOMF_TUMOR_NECROSIS_FACTOR_RECEPTOR_BINDING","2/201","21/10680",0.0585609171332984,0.333346759066468,0.296835094133156,"CD70/TNFSF9",2
"GOMF_FRIZZLED_BINDING","GOMF_FRIZZLED_BINDING","2/201","22/10680",0.0636401140877601,0.340378082802166,0.303096272879311,"WNT5A/WNT7B",2
"GOMF_INSULIN_LIKE_GROWTH_FACTOR_BINDING","GOMF_INSULIN_LIKE_GROWTH_FACTOR_BINDING","2/201","22/10680",0.0636401140877601,0.340378082802166,0.303096272879311,"CCN5/CCN4",2
"GOMF_SOLUTE_ANION_ANTIPORTER_ACTIVITY","GOMF_SOLUTE_ANION_ANTIPORTER_ACTIVITY","2/201","22/10680",0.0636401140877601,0.340378082802166,0.303096272879311,"SLC26A2/SLC37A1",2
"GOMF_CALCIUM_DEPENDENT_PROTEIN_BINDING","GOMF_CALCIUM_DEPENDENT_PROTEIN_BINDING","3/201","49/10680",0.0643958535031125,0.340378082802166,0.303096272879311,"SNAP25/DMBT1/S100Z",3
"GOMF_TRANSFERASE_ACTIVITY_TRANSFERRING_ALKYL_OR_ARYL_OTHER_THAN_METHYL_GROUPS","GOMF_TRANSFERASE_ACTIVITY_TRANSFERRING_ALKYL_OR_ARYL_OTHER_THAN_METHYL_GROUPS","3/201","49/10680",0.0643958535031125,0.340378082802166,0.303096272879311,"PTGES/COQ2/ALOX5AP",3
"GOMF_HYDROLASE_ACTIVITY_ACTING_ON_CARBON_NITROGEN_BUT_NOT_PEPTIDE_BONDS_IN_CYCLIC_AMIDINES","GOMF_HYDROLASE_ACTIVITY_ACTING_ON_CARBON_NITROGEN_BUT_NOT_PEPTIDE_BONDS_IN_CYCLIC_AMIDINES","2/201","23/10680",0.0688618257500381,0.350607741787693,0.312205471350065,"ADARB1/ADA",2
"GOMF_POSTSYNAPTIC_NEUROTRANSMITTER_RECEPTOR_ACTIVITY","GOMF_POSTSYNAPTIC_NEUROTRANSMITTER_RECEPTOR_ACTIVITY","2/201","23/10680",0.0688618257500381,0.350607741787693,0.312205471350065,"DRD2/GRIK2",2
"GOMF_ANION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","GOMF_ANION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","7/201","191/10680",0.0691739598662204,0.350607741787693,0.312205471350065,"MFSD12/SLC26A2/SLC9A7/TTYH2/SLC37A1/SLC12A8/SLCO5A1",7
"GOMF_ANTIOXIDANT_ACTIVITY","GOMF_ANTIOXIDANT_ACTIVITY","3/201","52/10680",0.0742045880212092,0.361329098353504,0.321752511478369,"PTGES/PTGS2/ALOX5AP",3
"GOMF_FIBRONECTIN_BINDING","GOMF_FIBRONECTIN_BINDING","2/201","24/10680",0.074218949932071,0.361329098353504,0.321752511478369,"MMP2/SSC5D",2
"GOMF_SCAVENGER_RECEPTOR_ACTIVITY","GOMF_SCAVENGER_RECEPTOR_ACTIVITY","2/201","24/10680",0.074218949932071,0.361329098353504,0.321752511478369,"DMBT1/SSC5D",2
"GOMF_ION_GATED_CHANNEL_ACTIVITY","GOMF_ION_GATED_CHANNEL_ACTIVITY","2/201","25/10680",0.0797045989304571,0.382996124730768,0.341046335820001,"TTYH2/TRPM4",2
"GOMF_EXTRACELLULAR_LIGAND_GATED_ION_CHANNEL_ACTIVITY","GOMF_EXTRACELLULAR_LIGAND_GATED_ION_CHANNEL_ACTIVITY","2/201","26/10680",0.0853120940351737,0.404685574269414,0.360360127301071,"GRIK2/GRIN2A",2
"GOMF_GLUTAMATE_RECEPTOR_BINDING","GOMF_GLUTAMATE_RECEPTOR_BINDING","2/201","28/10680",0.0968669206434771,0.444040286000868,0.395404294504329,"DRD2/SHANK3",2
"GOMF_UBIQUITIN_CONJUGATING_ENZYME_BINDING","GOMF_UBIQUITIN_CONJUGATING_ENZYME_BINDING","2/201","28/10680",0.0968669206434771,0.444040286000868,0.395404294504329,"PPARA/GRIK2",2
"GOMF_INORGANIC_ANION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","GOMF_INORGANIC_ANION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","4/201","93/10680",0.098141614746447,0.444040286000868,0.395404294504329,"SLC26A2/TTYH2/SLC37A1/SLC12A8",4
"GOMF_CARBON_OXYGEN_LYASE_ACTIVITY","GOMF_CARBON_OXYGEN_LYASE_ACTIVITY","3/201","59/10680",0.0994441904579848,0.444040286000868,0.395404294504329,"CA11/CYP1A1/ALOXE3",3
"GOMF_SULFUR_COMPOUND_BINDING","GOMF_SULFUR_COMPOUND_BINDING","6/201","169/10680",0.0996090371299243,0.444040286000868,0.395404294504329,"PTGES/SMOC1/COL5A1/APLP1/CCN5/CCN4",6
"GOMF_DNA_BINDING_TRANSCRIPTION_ACTIVATOR_ACTIVITY","GOMF_DNA_BINDING_TRANSCRIPTION_ACTIVATOR_ACTIVITY","10/201","338/10680",0.105528866504065,0.45597042495262,0.406027718378862,"EGR1/TFAP2A/PPARA/HOXA5/NFATC2/GATA4/NHLH2/FOS/MEIS3/EGR2",10
