"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION","12/81","111/3490",6.60309123866449e-06,0.000257520558307915,0.000215469293051157,"HLA-DRA/HLA-DQA1/CD74/HLA-DMB/HLA-DMA/HLA-E/FYB1/TGFB1/IL11/HLA-DOA/HLA-DOB/IL6",12
"HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY","13/81","163/3490",7.31515545223655e-05,0.00142645531318613,0.00119352536325965,"PTGES/DHRS3/SLC26A2/HES1/SYNGR1/INPP5F/SLC37A1/DHRS2/SEMA3B/MAPT/FOS/CCN5/ABAT",13
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","12/81","158/3490",0.000227993012655817,0.00296390916452562,0.00247992399730889,"HLA-DRB1/HLA-DQA1/CD74/CIITA/HLA-DMA/HLA-B/C1R/METTL7B/PTGS2/FPR1/IL6/CD38",12
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","11/81","175/3490",0.00206924836326251,0.0201751715418095,0.0168807103318784,"MMP2/WNT5A/FUCA1/COL1A1/TGFB1/ACTA2/SCG2/COL5A1/MATN2/APLP1/IL6",11
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","10/81","181/3490",0.00830480398118224,0.0647774710532214,0.0541997733508735,"EGR1/SERPINB2/HES1/RCAN1/KLF9/PTGS2/FOS/EGR2/TNFSF9/IL6",10
"HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE","8/81","149/3490",0.0209544812625271,0.131458012699577,0.109991859478728,"PTGES/SLC26A2/DHRS2/SEMA3B/MAPT/FOS/IDH2/CCN5",8
"HALLMARK_NOTCH_SIGNALING","HALLMARK_NOTCH_SIGNALING","3/81","27/3490",0.0235950279204368,0.131458012699577,0.109991859478728,"WNT5A/HES1/ARRB1",3
"HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_DN","5/81","84/3490",0.0440544069857421,0.214765234055493,0.179695607441843,"KCND1/SERPINB2/CLSTN3/PTPRJ/GPR19",5
"HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY","8/81","178/3490",0.0523133354043122,0.226691120085353,0.189674081582886,"TGFA/FUCA1/TGFB1/ADA/NHLH2/FOS/TNFSF9/ABAT",8
"HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS","6/81","121/3490",0.060210577250923,0.2348212512786,0.196476620503012,"COL1A1/TGFB1/MAPRE3/ERBB3/DAPK2/COL15A1",6
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP","6/81","136/3490",0.0939748920458272,0.297377317548162,0.248817728582808,"FUCA1/PLAT/SNAP25/SEMA3B/PTGS2/ANGPTL4",6
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA","7/81","170/3490",0.0973755196525786,0.297377317548162,0.248817728582808,"RORA/SDC3/COL5A1/FOS/ANGPTL4/CCN5/IL6",7
"HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS","6/81","138/3490",0.099125772516054,0.297377317548162,0.248817728582808,"MMP2/PLAT/BMF/ERBB3/IL6/CD38",6
"HALLMARK_APICAL_SURFACE","HALLMARK_APICAL_SURFACE","2/81","28/3490",0.13663330775091,0.357899015145167,0.299456665843459,"ATP6V0A4/MDGA1",2
"HALLMARK_COAGULATION","HALLMARK_COAGULATION","4/81","86/3490",0.137680698364609,0.357899015145167,0.299456665843459,"MMP2/PLAT/SERPINB2/C1R",4
"HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEDGEHOG_SIGNALING","2/81","30/3490",0.152747057527019,0.357899015145167,0.299456665843459,"SCG2/UNC5C",2
"HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING","3/81","59/3490",0.156007263011996,0.357899015145167,0.299456665843459,"TGFB1/IL6/CD38",3
"HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION","5/81","154/3490",0.285662084736663,0.618934516929437,0.517866937241904,"MMP2/FYB1/PCDH1/SDC3/MAPK11",5
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE","4/81","127/3490",0.340527290213003,0.698977069384586,0.584839113385214,"FPR1/CD70/TNFSF9/IL6",4
"HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS","5/81","174/3490",0.378780540030516,0.738622053059507,0.618010354786632,"TGFA/SDC3/CHST1/COL5A1/ANGPTL4",5
"HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP","4/81","139/3490",0.404772897710618,0.751721095748291,0.628970417495196,"HLA-F/FOS/CYP1A1/IL6",4
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT","4/81","148/3490",0.452335148932726,0.800378230726972,0.669682190351852,"PLAT/SERPINB2/C1R/IL6",4
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_CHOLESTEROL_HOMEOSTASIS","2/81","68/3490",0.472017930941547,0.800378230726972,0.669682190351852,"TM7SF2/SEMA3B",2
"HALLMARK_PEROXISOME","HALLMARK_PEROXISOME","2/81","87/3490",0.605782748829835,0.984396966848483,0.82365198305811,"DHRS3/IDH2",2
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING","3/81","155/3490",0.706505886788323,0.991873081698683,0.829907301826158,"DHRS3/RORA/APLP1",3
"HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING","1/81","52/3490",0.707772071098927,0.991873081698683,0.829907301826158,"TGFB1",1
"HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS","3/81","181/3490",0.800931622351781,0.991873081698683,0.829907301826158,"LAMA4/ANGPTL4/COL15A1",3
"HALLMARK_SPERMATOGENESIS","HALLMARK_SPERMATOGENESIS","1/81","71/3490",0.814449331008557,0.991873081698683,0.829907301826158,"CNIH2",1
"HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM","2/81","133/3490",0.822511471958034,0.991873081698683,0.829907301826158,"PPARA/CYP1A1",2
"HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM","1/81","73/3490",0.823138255539527,0.991873081698683,0.829907301826158,"IDH2",1
"HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM","2/81","148/3490",0.865937373652949,0.991873081698683,0.829907301826158,"PTGES/CYP1A1",2
