"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"KEGG_GRAFT_VERSUS_HOST_DISEASE","KEGG_GRAFT_VERSUS_HOST_DISEASE","15/86","20/3529",2.52175851529686e-21,2.54697610044983e-19,2.20322059757515e-19,"HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/HLA-DMB/HLA-DMA/HLA-E/HLA-B/HLA-F/HLA-DOA/HLA-DOB/IL6",15
"KEGG_ALLOGRAFT_REJECTION","KEGG_ALLOGRAFT_REJECTION","14/86","19/3529",9.22505483431664e-20,4.6586526913299e-18,4.02989237499095e-18,"HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/HLA-DMB/HLA-DMA/HLA-E/HLA-B/HLA-F/HLA-DOA/HLA-DOB",14
"KEGG_AUTOIMMUNE_THYROID_DISEASE","KEGG_AUTOIMMUNE_THYROID_DISEASE","14/86","20/3529",3.01617724608191e-19,1.01544633951424e-17,8.78395478683504e-18,"HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/HLA-DMB/HLA-DMA/HLA-E/HLA-B/HLA-F/HLA-DOA/HLA-DOB",14
"KEGG_TYPE_I_DIABETES_MELLITUS","KEGG_TYPE_I_DIABETES_MELLITUS","15/86","25/3529",4.83125324039719e-19,1.21989144320029e-17,1.05524741829728e-17,"HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/HLA-DMB/HLA-DMA/HLA-E/HLA-B/HLA-F/HLA-DOA/HLA-DOB/PTPRN",15
"KEGG_ASTHMA","KEGG_ASTHMA","11/86","13/3529",7.03473704671907e-17,1.42101688343725e-15,1.2292277365846e-15,"HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/HLA-DMB/HLA-DMA/HLA-DOA/HLA-DOB",11
"KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION","13/86","22/3529",1.75672090061875e-16,2.9571468493749e-15,2.55803218862029e-15,"HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/HLA-DMB/HLA-DMA/TGFB1/HLA-DOA/HLA-DOB/IL6",13
"KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION","KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION","16/86","50/3529",9.33389732466671e-15,1.34674804255905e-13,1.16498267360502e-13,"HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD74/HLA-DMB/CIITA/HLA-DMA/HLA-E/HLA-B/HLA-F/HLA-DOA/HLA-DOB",16
"KEGG_LEISHMANIA_INFECTION","KEGG_LEISHMANIA_INFECTION","15/86","52/3529",3.94324252231532e-13,4.97834368442309e-12,4.30643591252857e-12,"HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/HLA-DMB/HLA-DMA/TGFB1/HLA-DOA/MAPK11/PTGS2/FOS/HLA-DOB",15
"KEGG_VIRAL_MYOCARDITIS","KEGG_VIRAL_MYOCARDITIS","14/86","47/3529",1.57589711548674e-12,1.76850676293512e-11,1.52981825246081e-11,"HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/HLA-DMB/HLA-DMA/HLA-E/HLA-B/HLA-F/HLA-DOA/HLA-DOB",14
"KEGG_CELL_ADHESION_MOLECULES_CAMS","KEGG_CELL_ADHESION_MOLECULES_CAMS","15/86","77/3529",1.91598502996913e-10,1.93514488026882e-09,1.67396586828882e-09,"HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/HLA-DMB/HLA-DMA/HLA-E/HLA-B/HLA-F/SDC3/HLA-DOA/HLA-DOB",15
