"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"REACTOME_PD_1_SIGNALING","REACTOME_PD_1_SIGNALING","8/152","12/7682",9.04849723871816e-12,3.66464138168086e-09,3.20983533626107e-09,"HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/HLA-DQB2",8
"REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES","REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES","9/152","23/7682",2.36614379075402e-10,4.7914411762769e-08,4.1967918814953e-08,"HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/FYB1/HLA-DQB2",9
"REACTOME_INTERFERON_GAMMA_SIGNALING","REACTOME_INTERFERON_GAMMA_SIGNALING","12/152","68/7682",6.53840623077479e-09,8.82684841154597e-07,7.73137859568809e-07,"HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CIITA/HLA-E/HLA-B/HLA-F/HLA-DQB2",12
"REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION","REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION","13/152","110/7682",2.16526368215028e-07,2.19232947817716e-05,1.92024700232801e-05,"HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD74/HLA-DMB/HLA-DMA/HLA-DQB2/HLA-DOA/HLA-DOB",13
"REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY","REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY","8/152","50/7682",5.1869907130359e-06,0.000420146247755908,0.000368003341114336,"HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/HLA-DQB2",8
"REACTOME_COLLAGEN_CHAIN_TRIMERIZATION","REACTOME_COLLAGEN_CHAIN_TRIMERIZATION","6/152","27/7682",1.14139258513362e-05,0.000770439994965192,0.000674823335421104,"COL1A1/COL18A1/COL5A1/COL9A3/COL22A1/COL15A1",6
"REACTOME_INTERFERON_SIGNALING","REACTOME_INTERFERON_SIGNALING","13/152","160/7682",1.52892961690599e-05,0.000884594992638464,0.000774810948717771,"HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CIITA/HLA-E/EGR1/HLA-B/HLA-F/HLA-DQB2",13
"REACTOME_TCR_SIGNALING","REACTOME_TCR_SIGNALING","10/152","102/7682",3.06489575039138e-05,0.00155160347363564,0.0013590392998446,"HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/FYB1/HLA-DQB2/PTPRJ",10
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","14/152","202/7682",4.29648649820724e-05,0.00179195619380125,0.00156956267007413,"MMP2/COL1A1/TGFB1/SDC3/COL18A1/LTBP4/LTBP3/COL5A1/LAMA4/COL9A3/MMP24/ADAMTS14/COL22A1/COL15A1",14
"REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES","REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES","7/152","49/7682",4.424583194571e-05,0.00179195619380125,0.00156956267007413,"COL1A1/COL18A1/COL5A1/COL9A3/ADAMTS14/COL22A1/COL15A1",7
"REACTOME_COLLAGEN_DEGRADATION","REACTOME_COLLAGEN_DEGRADATION","6/152","40/7682",0.000119701970256945,0.00440720890491481,0.00386024535661154,"MMP2/COL1A1/COL18A1/COL5A1/COL9A3/COL15A1",6
"REACTOME_ARACHIDONIC_ACID_METABOLISM","REACTOME_ARACHIDONIC_ACID_METABOLISM","5/152","29/7682",0.000229749981622988,0.00775406187977585,0.00679173191289009,"PTGES/PTGS2/ALOX5AP/CYP1A1/ALOXE3",5
"REACTOME_COLLAGEN_FORMATION","REACTOME_COLLAGEN_FORMATION","7/152","67/7682",0.000332717839259509,0.0103654403769309,0.00907902120084653,"COL1A1/COL18A1/COL5A1/COL9A3/ADAMTS14/COL22A1/COL15A1",7
