"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"WP_ALLOGRAFT_REJECTION","WP_ALLOGRAFT_REJECTION","16/125","48/5284",4.33575585730033e-15,1.3224055364766e-12,1.14555233703409e-12,"HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/HLA-DMB/HLA-DMA/HLA-E/HLA-B/HLA-F/TGFB1/HLA-DOA/COL5A1/HLA-DOB",16
"WP_EBOLA_VIRUS_INFECTION_IN_HOST","WP_EBOLA_VIRUS_INFECTION_IN_HOST","16/125","110/5284",3.93399533773444e-09,5.99934289004502e-07,5.19701489353339e-07,"HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/HLA-DMB/HLA-DMA/HLA-E/HLA-B/TFAP2A/HLA-F/HLA-DQB2/HLA-DOA/HLA-DOB",16
"WP_CYTOKINES_AND_INFLAMMATORY_RESPONSE","WP_CYTOKINES_AND_INFLAMMATORY_RESPONSE","5/125","15/5284",1.69839081050669e-05,0.00129502299301135,0.00112183182483468,"HLA-DRA/HLA-DRB1/TGFB1/IL11/IL6",5
"WP_SLEEP_REGULATION","WP_SLEEP_REGULATION","5/125","15/5284",1.69839081050669e-05,0.00129502299301135,0.00112183182483468,"DRD2/ADA/FOS/GRIN2A/IL6",5
"WP_NUCLEAR_RECEPTORS_METAPATHWAY","WP_NUCLEAR_RECEPTORS_METAPATHWAY","15/125","214/5284",0.000137032878995582,0.00835900561873053,0.00724110581639815,"TGFA/EGR1/AHRR/SLC26A2/SERPINB2/TGFB1/SLC2A12/IL11/HES1/PPARA/SLC2A11/PTGS2/ALOX5AP/ANGPTL4/CYP1A1",15
"WP_PLURIPOTENT_STEM_CELL_DIFFERENTIATION_PATHWAY","WP_PLURIPOTENT_STEM_CELL_DIFFERENTIATION_PATHWAY","5/125","26/5284",0.000301841287707556,0.0153435987918008,0.0132916075815082,"WNT5A/TGFB1/IL11/IL6/WNT7B",5
"WP_ARYL_HYDROCARBON_RECEPTOR_PATHWAY_WP2873","WP_ARYL_HYDROCARBON_RECEPTOR_PATHWAY_WP2873","5/125","31/5284",0.000709220573645522,0.0309017535659835,0.0267690772909814,"AHRR/SERPINB2/TGFB1/HES1/CYP1A1",5
"WP_PROSTAGLANDIN_AND_LEUKOTRIENE_METABOLISM_IN_SENESCENCE","WP_PROSTAGLANDIN_AND_LEUKOTRIENE_METABOLISM_IN_SENESCENCE","4/125","21/5284",0.00130736568100812,0.0498433165884347,0.0431774718332946,"PTGES/MAPK11/PTGS2/ALOX5AP",4
"WP_ANGIOTENSIN_II_RECEPTOR_TYPE_1_PATHWAY","WP_ANGIOTENSIN_II_RECEPTOR_TYPE_1_PATHWAY","4/125","24/5284",0.00219725672995436,0.0741801371343135,0.0642595838506047,"COL1A1/TGFB1/IL11/ACTA2",4
"WP_EICOSANOID_SYNTHESIS","WP_EICOSANOID_SYNTHESIS","3/125","12/5284",0.00243213564374798,0.0741801371343135,0.0642595838506047,"PTGES/PTGS2/ALOX5AP",3
"WP_OREXIN_RECEPTOR_PATHWAY","WP_OREXIN_RECEPTOR_PATHWAY","8/125","103/5284",0.00284327965115863,0.0788363903275803,0.0682931284632361,"EGR1/HES1/TRIM9/CXXC5/FOS/GRIN2A/EGR2/IL6",8
"WP_GALANIN_RECEPTOR_PATHWAY","WP_GALANIN_RECEPTOR_PATHWAY","3/125","14/5284",0.00388720680613024,0.0918904863098682,0.0796014221355545,"TFAP2A/FOS/IL6",3
"WP_PHOTODYNAMIC_THERAPYINDUCED_AP1_SURVIVAL_SIGNALING","WP_PHOTODYNAMIC_THERAPYINDUCED_AP1_SURVIVAL_SIGNALING","5/125","45/5284",0.00391664367878127,0.0918904863098682,0.0796014221355545,"MMP2/BMF/MAPK11/FOS/IL6",5
"WP_HEMATOPOIETIC_STEM_CELL_DIFFERENTIATION","WP_HEMATOPOIETIC_STEM_CELL_DIFFERENTIATION","4/125","31/5284",0.00572733196256344,0.117472732328084,0.101762401430023,"CIITA/NFATC2/FOS/IL6",4
"WP_MIR5093P_ALTERATION_OF_YAP1ECM_AXIS","WP_MIR5093P_ALTERATION_OF_YAP1ECM_AXIS","3/125","16/5284",0.00577734749154511,0.117472732328084,0.101762401430023,"COL1A1/GPC6/COL5A1",3
"WP_EXTRACELLULAR_VESICLES_IN_THE_CROSSTALK_OF_CARDIAC_CELLS","WP_EXTRACELLULAR_VESICLES_IN_THE_CROSSTALK_OF_CARDIAC_CELLS","3/125","18/5284",0.00813332645980319,0.145921445308234,0.126406497920161,"SORBS2/GATA4/IL6",3
"WP_PROSTAGLANDIN_SIGNALING","WP_PROSTAGLANDIN_SIGNALING","3/125","18/5284",0.00813332645980319,0.145921445308234,0.126406497920161,"PTGES/TGFB1/IL6",3
"WP_GLUCOCORTICOID_RECEPTOR_PATHWAY","WP_GLUCOCORTICOID_RECEPTOR_PATHWAY","5/125","56/5284",0.00996489479937777,0.16884960632279,0.14626833886806,"SLC26A2/IL11/PTGS2/ALOX5AP/ANGPTL4",5
"WP_EICOSANOID_METABOLISM_VIA_CYCLOOXYGENASES_COX","WP_EICOSANOID_METABOLISM_VIA_CYCLOOXYGENASES_COX","3/125","20/5284",0.0109787828970134,0.176238357031005,0.152668947764564,"PTGES/TBXA2R/PTGS2",3
"WP_NETWORK_MAP_OF_SARSCOV2_SIGNALING_PATHWAY","WP_NETWORK_MAP_OF_SARSCOV2_SIGNALING_PATHWAY","8/125","132/5284",0.0124755760160988,0.182864721844573,0.15840912919064,"HLA-DRA/HLA-DRB1/HLA-DRB5/EGR1/C1R/PTGS2/FOS/IL6",8
"WP_PHYSIOLOGICAL_AND_PATHOLOGICAL_HYPERTROPHY_OF_THE_HEART","WP_PHYSIOLOGICAL_AND_PATHOLOGICAL_HYPERTROPHY_OF_THE_HEART","3/125","21/5284",0.0125906857663477,0.182864721844573,0.15840912919064,"MAPK11/GATA4/FOS",3
"WP_VITAMIN_D_RECEPTOR_PATHWAY","WP_VITAMIN_D_RECEPTOR_PATHWAY","7/125","110/5284",0.014891507705641,0.203963909315484,0.176686596162852,"HLA-DRB1/HLA-DQA1/TGFB1/NFATC2/SEMA3B/CYP1A1/IGSF9B",7
"WP_LUNG_FIBROSIS","WP_LUNG_FIBROSIS","4/125","41/5284",0.0153808849647742,0.203963909315484,0.176686596162852,"MMP2/TGFA/TGFB1/IL6",4
"WP_EXTRACELLULAR_VESICLEMEDIATED_SIGNALING_IN_RECIPIENT_CELLS","WP_EXTRACELLULAR_VESICLEMEDIATED_SIGNALING_IN_RECIPIENT_CELLS","3/125","24/5284",0.0182014062652689,0.231309537954459,0.200375130376425,"TGFA/WNT5A/TGFB1",3
"WP_TCELL_RECEPTOR_TCR_SIGNALING_PATHWAY","WP_TCELL_RECEPTOR_TCR_SIGNALING_PATHWAY","5/125","67/5284",0.0205277112374255,0.232057693162536,0.201023230315088,"FYB1/TGFB1/NFATC2/FOS/IL6",5
"WP_CIRCADIAN_RHYTHM_GENES","WP_CIRCADIAN_RHYTHM_GENES","8/125","145/5284",0.0209370354374694,0.232057693162536,0.201023230315088,"EGR1/DRD2/PPARA/RORA/KLF9/ADA/TNFRSF11A/IL6",8
"WP_BURN_WOUND_HEALING","WP_BURN_WOUND_HEALING","5/125","68/5284",0.0217495028320904,0.232057693162536,0.201023230315088,"MMP2/COL1A1/TGFB1/FLG/IL6",5
"WP_BLOOD_CLOTTING_CASCADE","WP_BLOOD_CLOTTING_CASCADE","2/125","10/5284",0.0220645019728313,0.232057693162536,0.201023230315088,"PLAT/SERPINB2",2
"WP_SMALL_LIGAND_GPCRS","WP_SMALL_LIGAND_GPCRS","2/125","10/5284",0.0220645019728313,0.232057693162536,0.201023230315088,"S1PR2/TBXA2R",2
"WP_NEUROINFLAMMATION_AND_GLUTAMATERGIC_SIGNALING","WP_NEUROINFLAMMATION_AND_GLUTAMATERGIC_SIGNALING","6/125","95/5284",0.0243752941706464,0.233141530348202,0.201962119473334,"TGFB1/TRPM4/GRIK2/FOS/GRIN2A/IL6",6
"WP_CORTICOTROPINRELEASING_HORMONE_SIGNALING_PATHWAY","WP_CORTICOTROPINRELEASING_HORMONE_SIGNALING_PATHWAY","5/125","71/5284",0.0256961151482928,0.233141530348202,0.201962119473334,"TFAP2A/TGFB1/KRT14/FOS/ARRB1",5
"WP_NRP1TRIGGERED_SIGNALING_PATHWAYS_IN_PANCREATIC_CANCER","WP_NRP1TRIGGERED_SIGNALING_PATHWAYS_IN_PANCREATIC_CANCER","4/125","48/5284",0.026057141723981,0.233141530348202,0.201962119473334,"MMP2/COL1A1/TGFB1/SEMA3A",4
"WP_CANCER_IMMUNOTHERAPY_BY_PD1_BLOCKADE","WP_CANCER_IMMUNOTHERAPY_BY_PD1_BLOCKADE","2/125","11/5284",0.0265552822805381,0.233141530348202,0.201962119473334,"HLA-DRB1/NFATC2",2
"WP_GENES_ASSOCIATED_WITH_THE_DEVELOPMENT_OF_RHEUMATOID_ARTHRITIS","WP_GENES_ASSOCIATED_WITH_THE_DEVELOPMENT_OF_RHEUMATOID_ARTHRITIS","2/125","11/5284",0.0265552822805381,0.233141530348202,0.201962119473334,"HLA-DRB1/CIITA",2
"WP_PHOTODYNAMIC_THERAPYINDUCED_NFKB_SURVIVAL_SIGNALING","WP_PHOTODYNAMIC_THERAPYINDUCED_NFKB_SURVIVAL_SIGNALING","3/125","28/5284",0.0275183445656894,0.233141530348202,0.201962119473334,"MMP2/PTGS2/IL6",3
"WP_TYPE_I_COLLAGEN_SYNTHESIS_IN_THE_CONTEXT_OF_OSTEOGENESIS_IMPERFECTA","WP_TYPE_I_COLLAGEN_SYNTHESIS_IN_THE_CONTEXT_OF_OSTEOGENESIS_IMPERFECTA","3/125","28/5284",0.0275183445656894,0.233141530348202,0.201962119473334,"COL1A1/TNFRSF11A/SERPINF1",3
"WP_HEART_DEVELOPMENT","WP_HEART_DEVELOPMENT","3/125","29/5284",0.0301762287623406,0.242145786752967,0.209762182830008,"ERBB3/NFATC2/GATA4",3
"WP_OVERVIEW_OF_PROINFLAMMATORY_AND_PROFIBROTIC_MEDIATORS","WP_OVERVIEW_OF_PROINFLAMMATORY_AND_PROFIBROTIC_MEDIATORS","3/125","30/5284",0.0329647171005082,0.242145786752967,0.209762182830008,"TGFB1/IL11/IL6",3
