"gene_id","gene_name","ARID2KO1","ARID2KO2","ARID2KO3","ARID2KO4","ARID2NT1","ARID2NT2","ARID2NT3","ARID2NT4"
"ENSG00000000003.15","TSPAN6",508,703,601,713,845.999,882,663,892
"ENSG00000000005.6","TNMD",0,0,0,0,0,0,0,0
"ENSG00000000419.13","DPM1",1843.001,2976,2107,2201,2892.999,2862,2431,3031.001
"ENSG00000000457.14","SCYL3",122,169.001,207.05,216.999,209.03,241.098,226.988,224.08
"ENSG00000000460.17","C1orf112",312.001,356,434,404.999,500.001,833.999,640,530
"ENSG00000000938.13","FGR",0,0,0,0,0,0,0,0
"ENSG00000000971.16","CFH",3.274,5.243,7,13.187,14.5,7,13.856,10.845
"ENSG00000001036.14","FUCA2",1837,2496,2784.001,2675,2749,3020,2404,2745
"ENSG00000001084.13","GCLC",185.001,233,295.998,281.001,456.999,324.999,276.999,428
"ENSG00000001167.14","NFYA",1917,2702,2968,2848,2875,3060,2513,3146
"ENSG00000001460.18","STPG1",100,120.002,144.001,144.001,191.999,140.002,105.999,172.001
"ENSG00000001461.17","NIPAL3",1055.001,1450,1880,1747,2025.999,1361.001,1146.001,2054.999
"ENSG00000001497.18","LAS1L",1160,1556.001,1735,1540,1733,1602,1637,1813.998
"ENSG00000001561.7","ENPP4",75,127,333,352,377,478,342,418
"ENSG00000001617.12","SEMA3F",4,0,1,0,1,0,1,5
"ENSG00000001626.16","CFTR",1,0,0,1,3,0,0,0
"ENSG00000001629.10","ANKIB1",1127.999,1693.999,1737,1764.999,2071.999,1689.001,1506,2340
"ENSG00000001630.17","CYP51A1",821.827,1217,1162.917,1078,2552.496,2044.978,1403.929,2743.747
"ENSG00000001631.16","KRIT1",482.251,680.921,736.017,668.287,709.512,691.545,458.015,811.26
"ENSG00000002016.18","RAD52",258.007,243.139,305,267.032,307.211,255.942,287.456,324.006
"ENSG00000002079.14","MYH16",173,232,149,129,334,180,163,349
"ENSG00000002330.14","BAD",290,416.001,524,361.001,459,254.999,360,383
"ENSG00000002549.12","LAP3",974,1464.999,1696.001,1419.001,1568.999,1578,1482,1612.996
"ENSG00000002586.20","CD99",725.001,1069,1252.001,1030,1356,967.001,1034,1307.999
"ENSG00000002587.10","HS3ST1",32,41,43,34,31,28,50,57
"ENSG00000002726.21","AOC1",0,0,0,0,0,0,0,0
"ENSG00000002745.13","WNT16",0,0,0,0,0,0,0,0
"ENSG00000002746.15","HECW1",18,34,77,63,16,24,25,12
"ENSG00000002822.15","MAD1L1",348.799,477.999,633.976,537.377,753.025,451.893,598.585,699.051
"ENSG00000002834.18","LASP1",4100,5614,6536,5158,12223.999,7133.001,6501,11392.001
"ENSG00000002919.15","SNX11",330.001,520,547,449.002,639,474.001,397.001,592.999
"ENSG00000002933.9","TMEM176A",0,0,0,0,0,0,0,0
"ENSG00000003056.8","M6PR",7576.89,10663.999,11470.999,10244.755,9723,12246.841,9598.963,10124.999
"ENSG00000003096.14","KLHL13",136,163.001,277,226,396,428,326.001,458
"ENSG00000003137.8","CYP26B1",21,26,38,42,28,61,42,23
"ENSG00000003147.19","ICA1",82,126,163.999,123,128.001,132.001,147,123
"ENSG00000003249.15","DBNDD1",370.001,465.999,524.999,454.001,438,359,421.999,367
"ENSG00000003393.15","ALS2",809.001,1052,1303,1177,1492.001,1015.002,991.001,1539
"ENSG00000003400.15","CASP10",8,13,22,5,31,13,41,34.999
"ENSG00000003402.20","CFLAR",813.23,1156.155,1304.522,1265.487,1779.184,1184.313,1244.143,2040.589
"ENSG00000003436.16","TFPI",804.001,1197.002,1530,1518.999,1206,1470.001,1207.999,1479
"ENSG00000003509.16","NDUFAF7",560.999,777,821.001,747.001,891,825,771.001,964.999
"ENSG00000003756.17","RBM5",2028.966,2374.069,3172.353,2981.193,3330.057,2243,2464.835,3599.002
"ENSG00000003987.14","MTMR7",0,0,0,0,1,2,0,1
"ENSG00000003989.18","SLC7A2",562,739,516,516,559,1314,935,577
"ENSG00000004059.11","ARF5",366.809,527.566,560.768,500.861,555.509,337.905,419.961,511.598
"ENSG00000004139.14","SARM1",567.221,711.285,926.312,769.381,1092.561,665.181,762.295,1050.461
"ENSG00000004142.12","POLDIP2",2180,3004,3083,2629,3577,2704,2899,3366
"ENSG00000004399.13","PLXND1",8,15,61.999,83.999,85,29,26,76.001
"ENSG00000004455.17","AK2",3510.999,4956.703,5631,5064.809,5801.996,5868.714,4998.046,5858.755
"ENSG00000004468.13","CD38",8,7,50,53,4,8,7,5
"ENSG00000004478.8","FKBP4",2635,3793.999,3993.999,3207.999,5189,4478.999,4356,4895.001
"ENSG00000004487.17","KDM1A",2234.999,3146,3454,3291.999,4751.999,4032,3557,4821.999
"ENSG00000004534.15","RBM6",2707.034,3705.932,4202.645,3282.806,4359.942,3550,3827.166,4496
"ENSG00000004660.15","CAMKK1",101,98,100,102,86,41,73.999,74
"ENSG00000004700.16","RECQL",3129.459,4648.315,4737.085,4825.115,4806.763,4872.976,4078.208,5096.76
"ENSG00000004766.17","VPS50",287,395.999,459,447,610,490.999,375,672.999
"ENSG00000004776.13","HSPB6",8,6,14,4,5,8,4,6
"ENSG00000004777.18","ARHGAP33",222,185,260.001,232,161,136,292,165
"ENSG00000004779.10","NDUFAB1",676,1064.999,950.001,986,1059,1164,1073.999,970
"ENSG00000004799.8","PDK4",0,1,24,12,11,10,11,12
"ENSG00000004809.14","SLC22A16",0,0,1,0,1,0,0,0
"ENSG00000004838.14","ZMYND10",7,4,8,8,2,4,5,5
"ENSG00000004846.16","ABCB5",3,2,1,4,8.999,3,6,18
"ENSG00000004848.8","ARX",0,0,1,0,0,0,2,0
"ENSG00000004864.14","SLC25A13",510,722,781,755,735,844,717,801
"ENSG00000004866.22","ST7",298.999,462.586,397.18,392,596.684,369,391,584.864
"ENSG00000004897.12","CDC27",3722.001,5897.002,6244,6368.928,7444.963,6468.992,4787.001,8134.002
"ENSG00000004939.15","SLC4A1",1,0,0,0,0,0,0,1
"ENSG00000004948.16","CALCR",0,0,0,0,0,0,0,0
"ENSG00000004961.15","HCCS",715,1112,1092,1026,1370,1246,964.999,1408
"ENSG00000004975.12","DVL2",508.001,623,689,567,733,375,476,676
"ENSG00000005001.10","PRSS22",1,1,1,0,0,0,0,0
"ENSG00000005007.13","UPF1",1733.001,2111,2572,1853.999,3478,1968,2206,3316.999
"ENSG00000005020.13","SKAP2",1600.999,2657.001,3005,3020,2087,1347.001,1067,2253
"ENSG00000005022.6","SLC25A5",5189,7435,7511,7175.999,8458,9504,8455,8229.999
"ENSG00000005059.16","MCUB",680,1056,949,962,1312,1048,905,1299
"ENSG00000005073.6","HOXA11",0,1,4,0,14,1,5,16
"ENSG00000005075.15","POLR2J",188.738,271.906,270.886,238.585,273.451,275.223,260.904,246.463
"ENSG00000005100.13","DHX33",1516.879,2071,2111.001,1959,2545.999,2387,2189,2699.999
"ENSG00000005102.14","MEOX1",0,0,0,0,0,0,0,0
"ENSG00000005108.16","THSD7A",7,1,6,7,4,14,3,6
"ENSG00000005156.12","LIG3",1019.001,1280,1472.744,1440.001,1859.999,1473.921,1469.998,1812
"ENSG00000005175.10","RPAP3",986,1616,1475,1403,2506,1915,1458.001,2817.999
"ENSG00000005187.12","ACSM3",0,2,0,1,3,11,2,5.002
"ENSG00000005189.20","REXO5",138.001,157,218.001,189.001,180,209.001,227,189.001
"ENSG00000005194.15","CIAPIN1",1104.001,1468.001,1552.002,1419.001,1739.001,1378.001,1491.999,1680.001
"ENSG00000005206.17","SPPL2B",228.427,230.239,414.349,404.704,252.616,263.001,349.891,230.999
"ENSG00000005238.20","FAM214B",363.001,406,542,437,1016,262,262,862
"ENSG00000005243.10","COPZ2",20.999,41,32,24.999,36,24,50,49.001
"ENSG00000005249.13","PRKAR2B",538,837,771,715,959,922,575,1053
"ENSG00000005302.19","MSL3",644.001,877,1051.999,1022.999,1244,833.999,792.999,1219.001
"ENSG00000005339.15","CREBBP",1785.999,2365,2816,2582.001,2615.001,2437,2213.001,2777
"ENSG00000005379.17","TSPOAP1",45,61,189.001,195.001,76,109,156.999,59
"ENSG00000005381.8","MPO",0,0,0,0,0,0,0,0
"ENSG00000005421.9","PON1",0,0,0,0,0,0,0,1
"ENSG00000005436.14","GCFC2",665,1094.001,1056,1170.001,680.001,1102.001,891.001,808.999
"ENSG00000005448.17","WDR54",226,342.001,399.999,331,453,248,369.001,386
"ENSG00000005469.12","CROT",122,166,191,158,198,145.001,144,221
"ENSG00000005471.19","ABCB4",49.706,87.464,131.288,121.407,160.111,107.069,94.74,190.606
"ENSG00000005483.21","KMT2E",1158.001,1607,1922,1815.001,2069,1591.999,1364.001,2305
"ENSG00000005486.17","RHBDD2",135,166,217.999,189,264,161.001,176.001,214.999
"ENSG00000005513.10","SOX8",0,0,0,0,0,0,0,0
"ENSG00000005700.15","IBTK",870.001,1352.001,1624,1553.999,1649,1495.001,1240.001,1922
"ENSG00000005801.18","ZNF195",1166,1490.001,1621.999,1951.001,1985,2047.998,1956.001,2303.001
"ENSG00000005810.18","MYCBP2",2299.999,3073,3717,3833,3694,3070,2832.999,4230
"ENSG00000005812.11","FBXL3",923,1526,1479.001,1524,1546.999,1664,1237,1581
"ENSG00000005844.19","ITGAL",0,0,0,0,1,0,0,0
"ENSG00000005882.12","PDK2",150.999,163,269,244,144.001,69,118,143.999
"ENSG00000005884.18","ITGA3",11720.594,14719.198,21712.947,17121.225,19892.405,12085.396,13679.528,18289.492
"ENSG00000005889.16","ZFX",1436.999,2022,2104,2149.999,2206,2095.001,1667.001,2409.001
"ENSG00000005893.16","LAMP2",4023,5933.999,7217,7442.001,5467.001,6316.999,4247.896,5849
"ENSG00000005961.19","ITGA2B",1,2,7,1,3,0,2,0
"ENSG00000005981.13","ASB4",0,0,0,0,0,0,0,0
"ENSG00000006007.12","GDE1",954,1506.001,1691.999,1425,1697,1589,1283,1698.999
"ENSG00000006015.18","REX1BD",249,265,315,242,307.021,172,316,263.001
"ENSG00000006016.11","CRLF1",1,0,3,1,3,4,3,3
"ENSG00000006025.12","OSBPL7",262,237,401,359.999,218,206.999,300.999,219
"ENSG00000006042.12","TMEM98",557.999,775,766,735.001,823,640,697.999,835
"ENSG00000006047.13","YBX2",0,0,0,0,0,0,0,0
"ENSG00000006059.4","KRT33A",0,2,0,0,0,0,0,1.01
"ENSG00000006062.17","MAP3K14",289.001,292,464,370,252,292,236,227.999
"ENSG00000006071.15","ABCC8",0,0,0,0,0,0,0,0
"ENSG00000006116.4","CACNG3",0,0,0,0,0,0,0,0
"ENSG00000006118.15","TMEM132A",827,894,815.999,656.002,1646.001,696,993.999,1453
"ENSG00000006125.18","AP2B1",9573,13261.982,15223.938,14396.002,14454.98,13149,11843.971,15311
"ENSG00000006128.12","TAC1",0,0,0,0,0,0,0,0
"ENSG00000006194.10","ZNF263",559,768.999,863.999,700.999,992.999,800.999,685,970.998
"ENSG00000006210.7","CX3CL1",0,1,3,0,0,0,1,0
"ENSG00000006282.21","SPATA20",471,478.001,806,664,752,398,516.001,666
"ENSG00000006283.18","CACNA1G",1,5,1,0,0,0,0,1
"ENSG00000006327.14","TNFRSF12A",1556,2194.999,2231.001,1626,2844,1632,1818,2567
"ENSG00000006377.11","DLX6",64,117,120,96,134.999,104,106,157
"ENSG00000006432.15","MAP3K9",624,879,958,897,662.001,541,552,722
"ENSG00000006451.8","RALA",1384.928,2305,2284,2328.001,3228,2707,1997,3246
"ENSG00000006453.14","BAIAP2L1",358,452.999,443,394,382,375,354,376
"ENSG00000006459.11","KDM7A",88,125,126,86,335,293,270,362
"ENSG00000006468.14","ETV1",843.001,1314,1259.001,1229.001,1556,1253,1067.999,1693
"ENSG00000006530.18","AGK",775.999,1266,1275,1267.999,1177.999,963.999,893,1177
"ENSG00000006534.16","ALDH3B1",113.999,179,336.999,278,179,159,212,145
"ENSG00000006555.11","TTC22",0,0,0,0,0,0,0,1
"ENSG00000006576.16","PHTF2",1135,1607.999,1645,1658,1797.998,1962,1252.001,2059.001
"ENSG00000006606.9","CCL26",0,0,0,0,0,0,0,0
"ENSG00000006607.14","FARP2",1449.001,1777.999,1895,1861.001,1792,1736.999,1542.001,1874.001
"ENSG00000006611.17","USH1C",0,0,0,0,0,0,0,0
"ENSG00000006625.18","GGCT",1072.861,1844.551,1656.83,1474.898,1886.634,1933.879,1645,2026.838
"ENSG00000006634.8","DBF4",738.525,1166.631,1054.942,1155.932,1488.853,1588.407,1116.353,1680.061
"ENSG00000006638.13","TBXA2R",82.999,106,155.999,114,78,40,52,61
"ENSG00000006652.15","IFRD1",284.083,387.999,377.29,372,663,716.769,614.001,692.54
"ENSG00000006659.13","LGALS14",0,0,0,0,0,0,0,0
"ENSG00000006695.12","COX10",402.915,526.47,595.279,587.194,686.436,664.239,548.796,751.714
"ENSG00000006704.11","GTF2IRD1",136.001,217,267,173.001,349.001,176,248.999,340
"ENSG00000006712.15","PAF1",1607,2283.999,2652.999,2049,2828,2096,2071,2677
"ENSG00000006715.16","VPS41",1640.999,2363.999,2834.445,2768.001,2603.442,2516,1871.999,2719.999
"ENSG00000006740.17","ARHGAP44",131,183,151,125,23,87,81.999,27
"ENSG00000006744.19","ELAC2",1835,2371.001,2673.003,2185.998,2916.001,2301,2468.002,2953.999
"ENSG00000006747.15","SCIN",1.001,1,0,2,2,0,1,1
"ENSG00000006756.16","ARSD",109.999,146,207,213,108.999,93,129,108
"ENSG00000006757.12","PNPLA4",85,118,128.001,101,238,103,110,241
"ENSG00000006788.14","MYH13",0,0,0,0,0,0,0,0
"ENSG00000006831.10","ADIPOR2",3112.001,4340,4474,4166,4496.001,4752.001,3968,4673.999
"ENSG00000006837.12","CDKL3",13.31,13.19,35.264,25.574,38.207,25.33,21.833,26.31
"ENSG00000007001.13","UPP2",0,0,0,0,0,0,0,0
"ENSG00000007038.11","PRSS21",172,214,216,183,110,147,184.001,89.001
"ENSG00000007047.15","MARK4",510,588,757,622.999,811,414.001,473.999,768.999
"ENSG00000007062.12","PROM1",1,1,0,0,1,1,2,6
"ENSG00000007080.11","CCDC124",656,984,956,675,1003,587,817,998
"ENSG00000007129.18","CEACAM21",0,0,0,0,2,0,0,0
"ENSG00000007168.14","PAFAH1B1",3146.001,4386.999,4707.999,4997,5151.002,4544,3604,5432.001
"ENSG00000007171.18","NOS2",0,1,1,0,0,0,0,0
"ENSG00000007174.18","DNAH9",4.999,10,20.002,16.999,9,2,3,8.999
"ENSG00000007202.15","KIAA0100",7892.998,10156.999,10957.998,9332,11213.001,9269,9140,11548
"ENSG00000007216.15","SLC13A2",0,0,0,0,0,0,1,0
"ENSG00000007237.19","GAS7",1543,2103.999,2454.988,2087,1157.001,1223,1419,1207
"ENSG00000007255.10","TRAPPC6A",8,13,17.999,11,7,8,4,6
"ENSG00000007264.15","MATK",0,0,0,0,0,0,0,0
"ENSG00000007306.15","CEACAM7",0,0,0,0,0,0,0,0
