#Transcript position	Transcript coverage profile
0.0	1444.2884742184126
1.0	1614.0956496796914
2.0	1708.6902108956963
3.0	1662.4422899566575
4.0	1674.1292197879661
5.0	1728.4215199484427
6.0	1816.969078315947
7.0	1890.1483147223976
8.0	1898.9393147877943
9.0	1898.0744671975983
10.0	1823.9503310603154
11.0	1793.6158383090778
12.0	1829.3477279488557
13.0	1873.8755406021885
14.0	1892.7511395971594
15.0	1996.8595940958442
16.0	2038.6283141805231
17.0	1981.5581705963198
18.0	1991.8323733061334
19.0	1998.8059504916089
20.0	2104.242079143692
21.0	2182.885352647836
22.0	2163.0241803246117
23.0	2089.940134386247
24.0	2050.692276065531
25.0	2052.1388877189806
26.0	2031.8534909632274
27.0	1962.1848119265226
28.0	1973.5025730076172
29.0	2063.7518428669646
30.0	2134.728644315543
31.0	2089.1190144670377
32.0	2038.1974464769253
33.0	2117.152702252497
34.0	2090.726334118476
35.0	2039.1309722478647
36.0	2064.3931711659307
37.0	2053.8784454148713
38.0	2129.3724872548937
39.0	2204.736440407863
40.0	2197.892924421369
41.0	2215.014379492054
42.0	2164.5024788139635
43.0	2096.5140840681443
44.0	2001.7427502940157
45.0	1987.6339710980913
46.0	2013.0723619287712
47.0	2004.4239937599052
48.0	1975.4717002804882
49.0	1939.704909659554
50.0	1902.578353797207
51.0	1956.1512783898072
52.0	2008.6404220568222
53.0	2060.402082993724
54.0	2094.4260771178097
55.0	2122.5910949277454
56.0	2078.240548458524
57.0	2084.896675962158
58.0	2075.4759704356816
59.0	2014.5781200975298
60.0	1993.7549807666398
61.0	2022.7961855036135
62.0	2042.007729841097
63.0	1976.3944106487509
64.0	1885.9922810557202
65.0	1783.7346572696379
66.0	1767.7435984672532
67.0	1706.625198270125
68.0	1691.6216818910664
69.0	1699.1242573132379
70.0	1697.586082399711
71.0	1671.9144577025556
72.0	1691.9038750749507
73.0	1728.027615068188
74.0	1738.6944880500614
75.0	1703.0201764511935
76.0	1671.2141820327963
77.0	1728.57457673784
78.0	1750.9595267983211
79.0	1798.909180480147
80.0	1843.3415401991615
81.0	1895.6816134079304
82.0	1823.764869682049
83.0	1804.4173925718978
84.0	1751.976076335934
85.0	1731.942879770109
86.0	1815.3216913513816
87.0	1849.7223071711057
88.0	1839.7024306597411
89.0	1809.1164959084124
90.0	1751.2462868003736
91.0	1726.7567013120179
92.0	1542.1099626873154
93.0	1401.6362293502577
94.0	1344.3975645385606
95.0	1212.718812958228
96.0	964.6586186687622
97.0	677.3872705415189
98.0	414.33778333279065
99.0	134.84301747226962
