#Transcript position	Transcript coverage profile
0.0	2930.4215629409196
1.0	3162.6882129620158
2.0	3335.6617335057063
3.0	3345.657934280079
4.0	3405.4629905691704
5.0	3531.6635642111573
6.0	3726.814856935943
7.0	3893.8508331569956
8.0	3940.203170824934
9.0	3998.954741570903
10.0	3966.678746602383
11.0	3997.036927764484
12.0	4064.788577450615
13.0	4159.311863886807
14.0	4227.651923877061
15.0	4388.606721241977
16.0	4512.336138639186
17.0	4487.537114616945
18.0	4477.725194431382
19.0	4514.973963773749
20.0	4677.139259363218
21.0	4769.7366836479705
22.0	4724.378888283353
23.0	4627.305208878328
24.0	4622.566772301582
25.0	4677.729319873278
26.0	4663.973405698893
27.0	4539.694357756082
28.0	4549.84524555101
29.0	4689.755133280521
30.0	4802.797559972587
31.0	4718.247735627786
32.0	4620.835011299064
33.0	4739.226512299781
34.0	4709.35663040617
35.0	4701.672757193417
36.0	4749.189650581453
37.0	4744.709783319777
38.0	4887.616172420016
39.0	5032.029392714779
40.0	5018.239365362541
41.0	5066.273574906199
42.0	4974.280917426926
43.0	4865.012140580293
44.0	4738.30811999616
45.0	4720.1393056514535
46.0	4761.16028979668
47.0	4765.225917400739
48.0	4718.207341320561
49.0	4665.501564968806
50.0	4587.292257217614
51.0	4671.754657074591
52.0	4749.794271911749
53.0	4855.210655540102
54.0	4909.105410394044
55.0	4912.4690318239345
56.0	4863.264028675797
57.0	4878.67855564473
58.0	4894.977775770092
59.0	4828.983641180656
60.0	4821.8523454164415
61.0	4868.557669148777
62.0	4884.029025327938
63.0	4791.48434211704
64.0	4664.510353364431
65.0	4525.11130151176
66.0	4518.108802588398
67.0	4453.225785262428
68.0	4404.711091468627
69.0	4420.793222073569
70.0	4456.199508730606
71.0	4458.992423340002
72.0	4449.766298040665
73.0	4504.030125923831
74.0	4550.129037740197
75.0	4530.7806439182405
76.0	4481.371645086506
77.0	4532.1927539466715
78.0	4529.5002406998765
79.0	4644.05797296639
80.0	4729.184252070607
81.0	4805.892745871898
82.0	4713.243105248612
83.0	4685.1142231794465
84.0	4583.192048210847
85.0	4527.6095492626355
86.0	4638.095998833064
87.0	4703.642514946574
88.0	4652.28822372517
89.0	4553.276123377832
90.0	4404.179222333667
91.0	4305.112918094066
92.0	3927.5062887189
93.0	3606.1757334306667
94.0	3399.534929071714
95.0	3025.050131546501
96.0	2412.3697275785207
97.0	1778.8186271600985
98.0	1128.69405173399
99.0	350.5317366913161
