#Transcript position	Transcript coverage profile
0.0	1884.4083990244542
1.0	2210.8772191896633
2.0	2336.4911782762515
3.0	2260.9310663744977
4.0	2327.7966916363075
5.0	2388.747229505166
6.0	2549.3181580258997
7.0	2677.71736790993
8.0	2721.3445797643894
9.0	2746.1358178581972
10.0	2600.6362796196877
11.0	2577.2779005215193
12.0	2605.169971731008
13.0	2706.049905261516
14.0	2769.7743536670023
15.0	2959.1169526004924
16.0	3083.131365413946
17.0	3075.514564060169
18.0	3124.4403193110106
19.0	3180.054617223807
20.0	3374.523764797969
21.0	3488.5568323696693
22.0	3457.8067556178726
23.0	3329.123351752147
24.0	3291.337050159963
25.0	3315.5597394395295
26.0	3267.5203230844877
27.0	3123.3793586575457
28.0	3144.962711732414
29.0	3313.1594847856763
30.0	3393.3059004625866
31.0	3332.589900587656
32.0	3240.7299555656314
33.0	3336.8845595542844
34.0	3296.7614698132597
35.0	3199.778190255132
36.0	3220.6989248129175
37.0	3231.0928689942307
38.0	3390.0602596809167
39.0	3549.8506032322125
40.0	3533.495952499899
41.0	3546.701966620535
42.0	3478.0606160020525
43.0	3354.9687287770475
44.0	3155.7145186498456
45.0	3074.2667172062334
46.0	3094.199299620514
47.0	3088.305387680548
48.0	3070.715946333167
49.0	3059.0041866902825
50.0	3023.1797030106827
51.0	3067.655502229183
52.0	3132.6737012881163
53.0	3249.234759633453
54.0	3308.748211907218
55.0	3342.7656565529696
56.0	3281.2750250592417
57.0	3331.1066851535656
58.0	3294.630165928994
59.0	3187.0084495891056
60.0	3122.2997370665007
61.0	3169.803053708822
62.0	3216.727572233295
63.0	3112.569070441089
64.0	2975.9230137611758
65.0	2815.899026853459
66.0	2814.790047386521
67.0	2737.3389465316172
68.0	2729.4543166503445
69.0	2743.004146185918
70.0	2744.038256151486
71.0	2683.860482677163
72.0	2698.8659932436717
73.0	2749.23355331398
74.0	2757.8496728199425
75.0	2725.4236397533687
76.0	2719.56138438118
77.0	2823.9880016632737
78.0	2823.262240494714
79.0	2909.8942609206906
80.0	2993.9457033787658
81.0	3054.726096787662
82.0	2938.2505843740346
83.0	2881.778374100697
84.0	2791.3425164730643
85.0	2785.5260550436915
86.0	2894.205196938128
87.0	2955.683974373767
88.0	2941.589602144071
89.0	2891.39939523137
90.0	2816.844202585479
91.0	2777.8476182535387
92.0	2473.313627002255
93.0	2283.122325172501
94.0	2195.7839656794654
95.0	1970.4082873980615
96.0	1555.3646299397362
97.0	1078.1110787242667
98.0	632.9134280543948
99.0	189.12183728594948
