#Transcript position	Transcript coverage profile
0.0	2849.543443070966
1.0	3157.7867641236658
2.0	3339.3803935219166
3.0	3380.3784641896787
4.0	3463.6920897279056
5.0	3606.199969149491
6.0	3792.2664798845117
7.0	3934.3069652285308
8.0	3983.8208716186773
9.0	4026.445866951177
10.0	3989.6953086027743
11.0	4014.2175576225845
12.0	4060.1535339728175
13.0	4152.960396325608
14.0	4198.806812926713
15.0	4352.427795301416
16.0	4448.348914254493
17.0	4397.363622350139
18.0	4384.819371761657
19.0	4398.48583900787
20.0	4557.70387216412
21.0	4637.532755737591
22.0	4566.704847859357
23.0	4459.793540552609
24.0	4433.421364070457
25.0	4481.765811068936
26.0	4432.7400132074035
27.0	4315.512542068567
28.0	4325.297119271739
29.0	4460.579269282059
30.0	4544.66312357685
31.0	4466.11161335175
32.0	4373.480845203567
33.0	4452.445258586248
34.0	4435.578271535095
35.0	4416.891709599171
36.0	4468.181547466846
37.0	4448.3658287448925
38.0	4551.752305517189
39.0	4678.002559091382
40.0	4673.978563836163
41.0	4734.689804458325
42.0	4659.118387090909
43.0	4558.229793407244
44.0	4414.5242821895345
45.0	4388.867570989839
46.0	4407.311902023253
47.0	4399.3724400591655
48.0	4367.988273676997
49.0	4316.136913608658
50.0	4244.412792230423
51.0	4319.952916747276
52.0	4399.339539782189
53.0	4491.563996569324
54.0	4549.427681405713
55.0	4549.48832754104
56.0	4498.4484700574285
57.0	4522.341403255468
58.0	4530.293221707235
59.0	4457.779544651448
60.0	4444.327275812212
61.0	4482.572417928284
62.0	4508.702390769084
63.0	4428.005857935353
64.0	4317.430714556779
65.0	4185.852244187906
66.0	4183.429322048886
67.0	4109.150082570757
68.0	4059.488514645805
69.0	4076.0522791789504
70.0	4108.740497266999
71.0	4091.5158658197774
72.0	4099.560395255015
73.0	4151.697484888175
74.0	4186.858941136517
75.0	4173.1295530969055
76.0	4143.621689103221
77.0	4196.798209289044
78.0	4181.274930690141
79.0	4264.207875842312
80.0	4342.230257783456
81.0	4406.509997214666
82.0	4301.938155998369
83.0	4267.788532708645
84.0	4181.360079953665
85.0	4133.8347994396645
86.0	4227.355763744959
87.0	4287.904243543962
88.0	4235.8462312298425
89.0	4142.635970366099
90.0	4022.4289326807984
91.0	3946.11795424232
92.0	3594.9886892804066
93.0	3321.88220306616
94.0	3161.1142896496967
95.0	2823.0893812840327
96.0	2270.284310139795
97.0	1675.197985534738
98.0	1064.3876757796722
99.0	324.0012751807666
