"","ARID2_WT_Rep1","ARID2_WT_Rep2","ARID2_KO_Rep1","ARID2_KO_Rep2"
"ENSG00000006837.12",25,22,13,13
"ENSG00000011083.9",0,0,3,0
"ENSG00000013561.18",1555,1200,1234,1631
"ENSG00000015479.20",16775,10968,8897,14413
"ENSG00000016082.15",98,78,45,80
"ENSG00000019582.15",7639,8764,16656,22266
"ENSG00000022355.18",3,3,0,0
"ENSG00000027847.14",222,248,184,254
"ENSG00000028310.18",1840,2215,1695,2077
"ENSG00000031003.10",1397,1047,927,1283
"ENSG00000035499.13",1664,1294,979,1438
"ENSG00000037241.7",741,662,477,823
"ENSG00000037280.16",15,37,6,13
"ENSG00000037474.15",6976,6251,4273,6579
"ENSG00000037749.12",1869,1353,1280,1635
"ENSG00000038274.17",2202,1793,1258,1857
"ENSG00000038382.20",12727,12397,9348,11366
"ENSG00000038427.16",8207,7650,3504,4697
"ENSG00000039123.16",5626,4606,3334,4894
"ENSG00000039139.9",88,102,49,63
"ENSG00000039319.17",2224,1758,1351,1817
"ENSG00000039537.14",0,0,0,0
"ENSG00000039560.14",5713,4538,3550,5530
"ENSG00000039600.11",0,0,0,2
"ENSG00000040275.17",3985,2770,1625,2400
"ENSG00000040731.10",20,20,6,13
"ENSG00000043143.20",930,914,1275,1707
"ENSG00000043462.13",0,0,0,0
"ENSG00000044115.21",12819,12291,10246,15270
"ENSG00000047188.16",1954,1694,1323,1823
"ENSG00000048140.18",738,761,818,1004
"ENSG00000048162.21",1808,1757,1385,1886
"ENSG00000049167.15",838,578,467,641
"ENSG00000049192.15",2533,2283,1149,1667
"ENSG00000049656.14",4358,4353,3761,4910
"ENSG00000049860.14",5044,3194,2988,4267
"ENSG00000049883.15",746,788,577,675
"ENSG00000050748.18",1451,1278,1035,1432
"ENSG00000050767.17",0,0,0,0
"ENSG00000051596.10",824,631,508,649
"ENSG00000053108.17",0,0,0,0
"ENSG00000055147.19",735,604,583,882
"ENSG00000055163.20",2377,2242,1793,2590
"ENSG00000056097.16",6637,5483,4319,6604
"ENSG00000058729.11",1309,934,740,1085
"ENSG00000061455.11",27,20,7,12
"ENSG00000061492.12",0,0,0,0
"ENSG00000062194.16",2520,1890,1505,2277
"ENSG00000063438.19",724,746,1256,1537
"ENSG00000064651.14",2293,1665,1507,2050
"ENSG00000064652.11",966,837,681,1061
"ENSG00000064692.20",18,8,0,1
"ENSG00000066230.12",25,56,79,57
"ENSG00000066583.12",819,710,370,633
"ENSG00000067113.17",165,169,140,202
"ENSG00000067248.10",2397,1955,1629,2419
"ENSG00000068796.19",4347,3587,2204,3313
"ENSG00000069011.16",24,28,22,29
"ENSG00000069018.19",0,0,0,0
"ENSG00000069020.18",513,564,621,854
"ENSG00000070193.5",0,0,0,0
"ENSG00000070614.15",5054,5023,4783,6076
"ENSG00000070808.16",0,0,0,1
"ENSG00000070814.22",5828,6201,3736,5327
"ENSG00000071539.14",3510,2726,1966,2967
"ENSG00000072364.13",5731,4882,3551,5118
"ENSG00000072571.20",3381,2321,1521,2431
"ENSG00000072682.19",614,562,600,827
"ENSG00000072786.13",1167,1372,1053,1443
"ENSG00000072803.17",3916,3331,2525,3581
"ENSG00000073578.17",2118,2014,1541,2099
"ENSG00000074276.10",0,0,0,0
"ENSG00000074317.11",3,13,36,51
"ENSG00000078295.17",0,1,1,2
"ENSG00000078795.17",0,0,0,0
"ENSG00000079215.14",699,473,449,659
"ENSG00000080709.16",46,46,39,77
"ENSG00000081059.20",0,0,0,0
"ENSG00000081189.16",164,150,273,413
"ENSG00000081791.9",979,1209,1079,1168
"ENSG00000081818.4",61,52,66,107
"ENSG00000081842.18",8,23,5,5
"ENSG00000081853.15",4,3,11,9
"ENSG00000082068.9",1094,976,697,1072
"ENSG00000082074.19",74,100,258,343
"ENSG00000082196.21",49,50,45,38
"ENSG00000082213.18",2391,1743,1312,2006
"ENSG00000082515.18",672,607,405,591
"ENSG00000082516.9",2552,2140,1277,1747
"ENSG00000083312.17",15040,10554,7256,10911
"ENSG00000083720.13",2592,1975,1357,1932
"ENSG00000085231.14",736,484,343,590
"ENSG00000085365.18",2238,1527,1407,2071
"ENSG00000086189.10",1308,1054,878,1378
"ENSG00000086200.17",2148,1648,1155,1803
"ENSG00000086570.12",0,0,0,0
"ENSG00000086589.12",2443,2001,1544,2218
"ENSG00000087116.16",5,7,2,2
"ENSG00000087206.17",1073,997,702,1032
"ENSG00000091009.8",2522,2079,1409,2337
"ENSG00000091010.6",3,4,3,5
"ENSG00000092421.17",41,27,21,41
"ENSG00000094755.17",0,0,0,0
"ENSG00000094880.11",2084,1708,1153,1853
"ENSG00000095015.6",795,639,494,619
"ENSG00000112851.15",10297,7872,6209,9073
"ENSG00000112852.7",119,81,190,221
"ENSG00000112855.17",1478,1440,1230,1654
"ENSG00000112874.10",369,298,316,413
"ENSG00000112877.8",172,260,150,208
"ENSG00000112893.9",3090,2243,1610,2224
"ENSG00000112902.12",19,16,20,32
"ENSG00000112936.19",0,0,0,0
"ENSG00000112941.14",1713,1546,1156,1480
"ENSG00000112964.14",312,230,238,351
"ENSG00000112972.15",4223,3175,2182,3369
"ENSG00000112977.16",7355,7045,5719,8499
"ENSG00000112981.5",0,5,1,1
"ENSG00000112983.18",1823,1716,1406,1846
"ENSG00000112984.12",4362,3450,2667,3679
"ENSG00000112992.18",2434,2153,1923,2636
"ENSG00000112996.11",2271,1599,1176,1770
"ENSG00000113013.16",15770,13576,9839,14846
"ENSG00000113048.17",3913,3377,2530,3799
"ENSG00000113068.10",2375,2114,1525,2347
"ENSG00000113070.8",1583,1369,639,902
"ENSG00000113073.15",0,1,0,0
"ENSG00000113083.15",598,463,169,253
"ENSG00000113088.6",0,0,0,0
"ENSG00000113100.10",0,0,0,0
"ENSG00000113108.19",118,239,234,228
"ENSG00000113119.13",186,242,157,170
"ENSG00000113140.11",18325,15984,20916,28587
"ENSG00000113141.18",4338,4045,3032,4487
"ENSG00000113161.16",5448,3937,2990,4001
"ENSG00000113163.18",1134,901,702,985
"ENSG00000113194.13",4241,3504,2891,4213
"ENSG00000113196.3",0,0,0,0
"ENSG00000113205.5",20,14,30,37
"ENSG00000113209.9",4,1,1,0
"ENSG00000113211.5",11,6,1,1
"ENSG00000113212.7",46,29,39,59
"ENSG00000113231.14",0,0,10,13
"ENSG00000113240.13",313,211,230,294
"ENSG00000113248.6",14,27,11,9
