# Program:featureCounts v2.0.1; Command:"featureCounts" "-a" "/sc/arion/projects/BiNGS/bings_omics/data/bings/2026/bulk_course_data/hands_on/engine/annotation/data/gencode.v36.annotation_chr5.gtf" "-t" "exon" "-g" "gene_id" "-s" "0" "-T" "4" "-o" "/sc/arion/projects/BiNGS/bings_omics/data/bings/2026/bulk_course_data/hands_on/data_rna/reduced_chr5/preprocessed/subread/SKMel147_ARID2KO_R1_RNA_chr5_R1.featureCounts.txt" "/sc/arion/projects/BiNGS/bings_omics/data/bings/2026/bulk_course_data/hands_on/data_rna/reduced_chr5/preprocessed/star/SKMel147_ARID2KO_R1_RNA_chr5_R1_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/sc/arion/projects/BiNGS/bings_omics/data/bings/2026/bulk_course_data/hands_on/data_rna/reduced_chr5/preprocessed/star/SKMel147_ARID2KO_R1_RNA_chr5_R1_Aligned.sortedByCoord.out.bam
ENSG00000250020.1	chr5	58198	58915	+	718	0
ENSG00000153404.14	chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5	92151;113251;139483;140258;140566;143047;143047;143047;143380;143380;143380;144827;144827;144827;151513;151513;151513;154875;154875;154875;155345;155345;155345;156071;156071;156071;156773;156773;156773;161783;161783;162722;162722;169053;169340;169340;171043;171043;171043;171214;171214;171214;172897;172897;172897;173918;173918;173918;179551;181514;181514;181514;182004;182004;182004	92276;113448;140716;140716;140716;143256;143256;143256;143503;143503;143503;144920;144920;144920;151599;151599;151599;154991;154991;154991;155443;155443;155443;156210;156210;156210;157110;156911;156911;161944;161944;163548;163548;169592;169592;169592;171132;171132;171132;171444;171444;171444;173067;173067;173067;174098;174098;174098;179754;181675;181675;181675;182589;189972;189970	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	13304	112
ENSG00000199540.1	chr5	144087	144197	-	111	0
ENSG00000185028.4	chr5;chr5	191495;194708	192437;196334	+;+	2570	1
ENSG00000261434.1	chr5	195778	196341	+	564	0
ENSG00000164366.4	chr5;chr5;chr5;chr5;chr5	196868;205873;216729;216729;218093	205958;205958;217218;216859;218153	-;-;-;-;-	9642	398
ENSG00000260774.1	chr5;chr5	213898;217194	216692;217279	-;-	2881	11
ENSG00000073578.17	chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5	218241;218303;218311;218316;218318;218320;218327;218371;220240;223482;223482;223482;223482;223482;223482;223482;223482;224360;224360;224360;224360;224360;224360;224360;224360;225419;225419;225419;225419;225419;225419;225633;225883;225883;225883;225883;225883;227609;227626;228185;228185;228185;228185;228185;228185;228185;230876;230876;230876;230876;230876;230876;230876;230876;230921;230943;230943;233477;233477;233477;233477;233477;233477;233477;233477;233477;233477;234421;235144;235144;235144;235144;235144;235144;235144;236302;236302;236428;236428;236428;236428;236428;236428;236513;240358;240358;240358;240358;240358;240358;240358;240358;240358;240444;249054;250694;250992;250992;250992;250992;250992;250992;250992;250992;250992;251337;251338;251338;251338;251338;251338;251338;251338;251338;251338;251341;253008;254358;254358;254393;254393;254393;254393;254393;254393;254393;254393;254393;256334;256334;256334;256334;256334;256334;256334;256334;256334;256334;256334;256351	218418;218418;218418;218418;218418;218418;218418;218418;220337;223568;223568;223568;223568;223568;223568;223568;223568;224521;224521;224521;224521;224843;224521;224521;224521;225562;225562;225562;225562;225562;225486;226047;226047;226047;226047;226047;226047;228333;227756;228333;228333;228333;228333;228333;228333;228333;231000;231000;230891;231000;231000;231000;231000;231000;231000;231000;231000;234138;234138;233629;233645;233645;233645;233645;233645;233645;233645;236599;235339;235524;235339;235339;235339;235339;235339;236599;236516;236599;236599;236599;236599;236599;236599;236599;240476;240476;240476;240476;240476;240476;240476;240476;240476;240476;250776;251103;251043;251103;251103;251103;251103;251103;251103;251103;251103;251468;251359;251468;251468;251468;251468;251468;251468;251864;251468;251468;253080;254506;254506;254506;254506;254506;254506;254506;254506;254506;254506;254506;256679;256682;256682;256682;256679;256648;256679;257082;256679;256682;256697;256679	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	8765	253
ENSG00000286001.1	chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5	218298;223482;224360;225419;225883;228185;230876;233477;236428;240358;250992;251338;254393;256334;263701;264323;270735;271411;272711;304177;306602;311293;313701;314417	218418;223568;224521;225562;226047;228333;231000;233645;236599;240476;251103;251468;254506;256455;263814;264385;270854;271821;272772;304221;306760;311402;313850;314955	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3665	5
ENSG00000248925.1	chr5;chr5	269858;271345	270207;271516	-;-	522	2
