Sample	featurecounts-Assigned	featurecounts-percent_assigned	cutadapt-percent_trimmed	star-total_reads	star-mapped	star-mapped_percent	star-uniquely_mapped	star-uniquely_mapped_percent	star-multimapped	samtools_stats-error_rate	samtools_stats-non_primary_alignments	samtools_stats-reads_mapped	samtools_stats-reads_mapped_percent	samtools_stats-reads_properly_paired_percent	samtools_stats-reads_MQ0_percent	samtools_stats-raw_total_sequences	samtools_stats-insert_size_average	samtools_flagstat-flagstat_total	samtools_flagstat-mapped_passed	samtools_flagstat-mapped_passed_pct	qualimap_rnaseq-5_3_bias	qualimap_rnaseq-reads_aligned	qualimap_rnaseq-reads_aligned_exonic	qualimap_rnaseq-reads_aligned_intronic	qualimap_rnaseq-reads_aligned_intergenic	qualimap_rnaseq-reads_aligned_overlapping_exon	salmon-percent_mapped	salmon-num_mapped	salmon-library_types	salmon-compatible_fragment_ratio	salmon-strand_mapping_bias
SKMel147_ARID2KO_R1																											87.34829471183512	0.944201	SR	100.0	0.00035365471440793544
SKMel147_ARID2KO_R1_RNA_chr5_R1	0.8747729999999999	77.5192541332915	0.8013459603458521	1.080961	1.080674	99.97	1.046923	96.85	0.033750999999999996	0.0	0.047498	1.080674	99.97344955090887	0.0	0.14052310860428824	1.080961	0.0	1.1284589999999999	1.128172	99.97	0.98	1.080674	0.8725499999999999	0.110069	0.018408	0.026705					
SKMel147_ARID2KO_R2																											89.55745185443125	1.357948	SR	100.0	2.7983398480648743e-05
SKMel147_ARID2KO_R2_RNA_chr5_R1	1.25223	79.13610869736945	0.8037676194973385	1.516287	1.515784	99.97	1.467306	96.77	0.048478	0.0	0.066088	1.515784	99.96682686061412	0.0	0.13289040926948525	1.516287	0.0	1.5823749999999999	1.581872	99.97	0.86	1.515784	1.251514	0.12250899999999999	0.025761	0.036154					
SKMel147_ARID2WT_R1																											89.06804196534725	1.432378	SR	100.0	0.00020172858361405482
SKMel147_ARID2WT_R1_RNA_chr5_R1	1.3202019999999999	78.59360405480946	0.8593421387495513	1.6081839999999998	1.606832	99.91	1.55357	96.6	0.053262	0.0	0.071599	1.606832	99.91593001795815	0.0	0.127099884092865	1.6081839999999998	0.0	1.679783	1.678431	99.92	0.98	1.606832	1.323726	0.13067099999999998	0.027887	0.033259					
SKMel147_ARID2WT_R2																											87.21073952343579	1.225617	SR	100.0	0.0003010087463842242
SKMel147_ARID2WT_R2_RNA_chr5_R1	1.131217	77.09666448801892	0.8325548828908831	1.405351	1.40499	99.98	1.358905	96.7	0.046085	0.0	0.061919999999999996	1.40499	99.97431246713454	0.0	0.12160663065668292	1.405351	0.0	1.467271	1.46691	99.98	1.01	1.40499	1.1287719999999999	0.14362	0.025627999999999998	0.035352					
