Module	Section	Sample Name	Source
featureCounts	all_sections	SKMel147_ARID2KO_R1_RNA_chr5_R1	/sc/arion/projects/BiNGS/bings_omics/data/bings/2026/bulk_course_data/hands_on/data_rna/reduced_chr5/preprocessed/subread/SKMel147_ARID2KO_R1_RNA_chr5_R1.featureCounts.txt.summary
featureCounts	all_sections	SKMel147_ARID2KO_R2_RNA_chr5_R1	/sc/arion/projects/BiNGS/bings_omics/data/bings/2026/bulk_course_data/hands_on/data_rna/reduced_chr5/preprocessed/subread/SKMel147_ARID2KO_R2_RNA_chr5_R1.featureCounts.txt.summary
featureCounts	all_sections	SKMel147_ARID2WT_R1_RNA_chr5_R1	/sc/arion/projects/BiNGS/bings_omics/data/bings/2026/bulk_course_data/hands_on/data_rna/reduced_chr5/preprocessed/subread/SKMel147_ARID2WT_R1_RNA_chr5_R1.featureCounts.txt.summary
featureCounts	all_sections	SKMel147_ARID2WT_R2_RNA_chr5_R1	/sc/arion/projects/BiNGS/bings_omics/data/bings/2026/bulk_course_data/hands_on/data_rna/reduced_chr5/preprocessed/subread/SKMel147_ARID2WT_R2_RNA_chr5_R1.featureCounts.txt.summary
Cutadapt	all_sections	SKMel147_ARID2KO_R1_RNA_chr5_R1	/sc/arion/projects/BiNGS/bings_omics/data/bings/2026/bulk_course_data/hands_on/data_rna/reduced_chr5/preprocessed/trimgalore/SKMel147_ARID2KO_R1_RNA_chr5_R1.fastq_trimming_report.txt
Cutadapt	all_sections	SKMel147_ARID2KO_R2_RNA_chr5_R1	/sc/arion/projects/BiNGS/bings_omics/data/bings/2026/bulk_course_data/hands_on/data_rna/reduced_chr5/preprocessed/trimgalore/SKMel147_ARID2KO_R2_RNA_chr5_R1.fastq_trimming_report.txt
Cutadapt	all_sections	SKMel147_ARID2WT_R1_RNA_chr5_R1	/sc/arion/projects/BiNGS/bings_omics/data/bings/2026/bulk_course_data/hands_on/data_rna/reduced_chr5/preprocessed/trimgalore/SKMel147_ARID2WT_R1_RNA_chr5_R1.fastq_trimming_report.txt
Cutadapt	all_sections	SKMel147_ARID2WT_R2_RNA_chr5_R1	/sc/arion/projects/BiNGS/bings_omics/data/bings/2026/bulk_course_data/hands_on/data_rna/reduced_chr5/preprocessed/trimgalore/SKMel147_ARID2WT_R2_RNA_chr5_R1.fastq_trimming_report.txt
STAR	SummaryLog	SKMel147_ARID2KO_R1_RNA_chr5_R1	/sc/arion/projects/BiNGS/bings_omics/data/bings/2026/bulk_course_data/hands_on/data_rna/reduced_chr5/preprocessed/star/SKMel147_ARID2KO_R1_RNA_chr5_R1_Log.final.out
STAR	SummaryLog	SKMel147_ARID2KO_R2_RNA_chr5_R1	/sc/arion/projects/BiNGS/bings_omics/data/bings/2026/bulk_course_data/hands_on/data_rna/reduced_chr5/preprocessed/star/SKMel147_ARID2KO_R2_RNA_chr5_R1_Log.final.out
STAR	SummaryLog	SKMel147_ARID2WT_R1_RNA_chr5_R1	/sc/arion/projects/BiNGS/bings_omics/data/bings/2026/bulk_course_data/hands_on/data_rna/reduced_chr5/preprocessed/star/SKMel147_ARID2WT_R1_RNA_chr5_R1_Log.final.out
STAR	SummaryLog	SKMel147_ARID2WT_R2_RNA_chr5_R1	/sc/arion/projects/BiNGS/bings_omics/data/bings/2026/bulk_course_data/hands_on/data_rna/reduced_chr5/preprocessed/star/SKMel147_ARID2WT_R2_RNA_chr5_R1_Log.final.out
STAR	ReadsPerGene	SKMel147_ARID2KO_R1_RNA_chr5_R1	/sc/arion/projects/BiNGS/bings_omics/data/bings/2026/bulk_course_data/hands_on/data_rna/reduced_chr5/preprocessed/star/SKMel147_ARID2KO_R1_RNA_chr5_R1_ReadsPerGene.out.tab
STAR	ReadsPerGene	SKMel147_ARID2KO_R2_RNA_chr5_R1	/sc/arion/projects/BiNGS/bings_omics/data/bings/2026/bulk_course_data/hands_on/data_rna/reduced_chr5/preprocessed/star/SKMel147_ARID2KO_R2_RNA_chr5_R1_ReadsPerGene.out.tab
STAR	ReadsPerGene	SKMel147_ARID2WT_R1_RNA_chr5_R1	/sc/arion/projects/BiNGS/bings_omics/data/bings/2026/bulk_course_data/hands_on/data_rna/reduced_chr5/preprocessed/star/SKMel147_ARID2WT_R1_RNA_chr5_R1_ReadsPerGene.out.tab
STAR	ReadsPerGene	SKMel147_ARID2WT_R2_RNA_chr5_R1	/sc/arion/projects/BiNGS/bings_omics/data/bings/2026/bulk_course_data/hands_on/data_rna/reduced_chr5/preprocessed/star/SKMel147_ARID2WT_R2_RNA_chr5_R1_ReadsPerGene.out.tab
Samtools	stats	SKMel147_ARID2KO_R1_RNA_chr5_R1	/sc/arion/projects/BiNGS/bings_omics/data/bings/2026/bulk_course_data/hands_on/data_rna/reduced_chr5/preprocessed/samtools/SKMel147_ARID2KO_R1_RNA_chr5_R1_Aligned.sortedByCoord.out.stats
Samtools	stats	SKMel147_ARID2KO_R2_RNA_chr5_R1	/sc/arion/projects/BiNGS/bings_omics/data/bings/2026/bulk_course_data/hands_on/data_rna/reduced_chr5/preprocessed/samtools/SKMel147_ARID2KO_R2_RNA_chr5_R1_Aligned.sortedByCoord.out.stats
Samtools	stats	SKMel147_ARID2WT_R1_RNA_chr5_R1	/sc/arion/projects/BiNGS/bings_omics/data/bings/2026/bulk_course_data/hands_on/data_rna/reduced_chr5/preprocessed/samtools/SKMel147_ARID2WT_R1_RNA_chr5_R1_Aligned.sortedByCoord.out.stats
Samtools	stats	SKMel147_ARID2WT_R2_RNA_chr5_R1	/sc/arion/projects/BiNGS/bings_omics/data/bings/2026/bulk_course_data/hands_on/data_rna/reduced_chr5/preprocessed/samtools/SKMel147_ARID2WT_R2_RNA_chr5_R1_Aligned.sortedByCoord.out.stats
Samtools	flagstat	SKMel147_ARID2KO_R1_RNA_chr5_R1	/sc/arion/projects/BiNGS/bings_omics/data/bings/2026/bulk_course_data/hands_on/data_rna/reduced_chr5/preprocessed/samtools/SKMel147_ARID2KO_R1_RNA_chr5_R1_Aligned.sortedByCoord.out.flagstat
Samtools	flagstat	SKMel147_ARID2KO_R2_RNA_chr5_R1	/sc/arion/projects/BiNGS/bings_omics/data/bings/2026/bulk_course_data/hands_on/data_rna/reduced_chr5/preprocessed/samtools/SKMel147_ARID2KO_R2_RNA_chr5_R1_Aligned.sortedByCoord.out.flagstat
Samtools	flagstat	SKMel147_ARID2WT_R1_RNA_chr5_R1	/sc/arion/projects/BiNGS/bings_omics/data/bings/2026/bulk_course_data/hands_on/data_rna/reduced_chr5/preprocessed/samtools/SKMel147_ARID2WT_R1_RNA_chr5_R1_Aligned.sortedByCoord.out.flagstat
Samtools	flagstat	SKMel147_ARID2WT_R2_RNA_chr5_R1	/sc/arion/projects/BiNGS/bings_omics/data/bings/2026/bulk_course_data/hands_on/data_rna/reduced_chr5/preprocessed/samtools/SKMel147_ARID2WT_R2_RNA_chr5_R1_Aligned.sortedByCoord.out.flagstat
Samtools	idxstats	SKMel147_ARID2KO_R1_RNA_chr5_R1	/sc/arion/projects/BiNGS/bings_omics/data/bings/2026/bulk_course_data/hands_on/data_rna/reduced_chr5/preprocessed/samtools/SKMel147_ARID2KO_R1_RNA_chr5_R1_Aligned.sortedByCoord.out.idxstats
Samtools	idxstats	SKMel147_ARID2KO_R2_RNA_chr5_R1	/sc/arion/projects/BiNGS/bings_omics/data/bings/2026/bulk_course_data/hands_on/data_rna/reduced_chr5/preprocessed/samtools/SKMel147_ARID2KO_R2_RNA_chr5_R1_Aligned.sortedByCoord.out.idxstats
Samtools	idxstats	SKMel147_ARID2WT_R1_RNA_chr5_R1	/sc/arion/projects/BiNGS/bings_omics/data/bings/2026/bulk_course_data/hands_on/data_rna/reduced_chr5/preprocessed/samtools/SKMel147_ARID2WT_R1_RNA_chr5_R1_Aligned.sortedByCoord.out.idxstats
Samtools	idxstats	SKMel147_ARID2WT_R2_RNA_chr5_R1	/sc/arion/projects/BiNGS/bings_omics/data/bings/2026/bulk_course_data/hands_on/data_rna/reduced_chr5/preprocessed/samtools/SKMel147_ARID2WT_R2_RNA_chr5_R1_Aligned.sortedByCoord.out.idxstats
QualiMap	rna_genome_results	SKMel147_ARID2KO_R1_RNA_chr5_R1	/sc/arion/projects/BiNGS/bings_omics/data/bings/2026/bulk_course_data/hands_on/data_rna/reduced_chr5/preprocessed/qualimap/SKMel147_ARID2KO_R1_RNA_chr5_R1/rnaseq_qc_results.txt
QualiMap	rna_genome_results	SKMel147_ARID2WT_R1_RNA_chr5_R1	/sc/arion/projects/BiNGS/bings_omics/data/bings/2026/bulk_course_data/hands_on/data_rna/reduced_chr5/preprocessed/qualimap/SKMel147_ARID2WT_R1_RNA_chr5_R1/rnaseq_qc_results.txt
QualiMap	rna_genome_results	SKMel147_ARID2WT_R2_RNA_chr5_R1	/sc/arion/projects/BiNGS/bings_omics/data/bings/2026/bulk_course_data/hands_on/data_rna/reduced_chr5/preprocessed/qualimap/SKMel147_ARID2WT_R2_RNA_chr5_R1/rnaseq_qc_results.txt
QualiMap	rna_genome_results	SKMel147_ARID2KO_R2_RNA_chr5_R1	/sc/arion/projects/BiNGS/bings_omics/data/bings/2026/bulk_course_data/hands_on/data_rna/reduced_chr5/preprocessed/qualimap/SKMel147_ARID2KO_R2_RNA_chr5_R1/rnaseq_qc_results.txt
QualiMap	rna_coverage_histogram	SKMel147_ARID2KO_R1_RNA_chr5_R1	/sc/arion/projects/BiNGS/bings_omics/data/bings/2026/bulk_course_data/hands_on/data_rna/reduced_chr5/preprocessed/qualimap/SKMel147_ARID2KO_R1_RNA_chr5_R1/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
